datetime,Volume,FlowIn,Rain,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi,FlowOut
2004-05-21,234753400,1.90572064,0,6.998,10.4433333333333,10.86,5.66,10.811499146171,3.3,1.90572064
2004-05-22,234753400,1.87740384,3.56,6.928,10.4366666666667,10.89,6.07,10.8062721667942,3.4,1.87740384
2004-05-23,234753400,1.96235424,6.35,6.766,10.0666666666667,10.96,6.88,11.041756144129,3.4,1.96235424
2004-05-24,234753400,1.97651264,13.97,6.872,9.92333333333333,11.03,7.69,11.1266480098943,3.5,1.97651264
2004-05-25,234753400,1.88023552,0,6.974,9.98333333333333,11.1,8.51,10.9750706096082,3.5,1.88023552
2004-05-26,234753400,1.8122752,0,6.85555555555556,10.4,11.17,9.32,10.8777286281014,3.6,1.8122752
2004-05-27,234753400,1.85758208,6.86,7.048,10.5233333333333,11.21,9.49,11.0311714674778,3.7,1.85758208
2004-05-28,234753400,1.8122752,0,7.03,11.2966666666667,11.24,9.02,10.9814355773417,3.8,1.8122752
2004-05-29,234753400,1.7556416,0,7.05,11.1433333333333,11.26,8.55,10.9022336102541,3.9,1.7556416
2004-05-30,234753400,1.8264336,1.27,7.188,10.87,11.28,8.07,11.1152661640816,4,1.8264336
2004-05-31,234753400,1.8547504,30.99,7.094,10.9466666666667,11.31,7.6,11.2296716858171,4.1,1.8547504
2004-06-01,234753400,1.89439392,2.03,7.228,11.2633333333333,11.33,7.13,11.3687884674162,4.2,1.89439392
2004-06-02,234753400,1.89439392,2.79,7.152,11.57,11.35,6.65,11.4182331662981,4.3,1.89439392
2004-06-03,234753400,1.97368096,0,7.174,12.8166666666667,11.38,6.18,11.643650559847,4.4,1.97368096
2004-06-04,234753400,1.95952256,0,7.056,14.7,11.4,5.71,11.6611245847657,4.4,1.95952256
2004-06-05,234753400,1.85758208,0,7.276,13.5933333333333,11.42,5.23,11.4780382953776,4.5,1.85758208
2004-06-06,234753400,1.89439392,10.16,7.18,15.8233333333333,11.45,4.76,11.6090037748684,4.6,1.89439392
2004-06-07,234753400,1.87740384,0,7.394,14.8366666666667,11.47,4.29,11.6157118575617,4.7,1.87740384
2004-06-08,234753400,1.8547504,0,7.434,16.2433333333333,11.49,3.81,11.6078704282188,4.8,1.8547504
2004-06-09,234753400,1.90005728,4.57,7.506,15.17,11.52,3.34,11.7571185791609,4.9,1.90005728
2004-06-10,234753400,1.86607712,3.05,7.40555555555556,15.2,11.54,2.87,11.7213463322201,5,1.86607712
2004-06-11,234753400,1.7556416,0,7.15,15.28,11.56,2.65,11.4985525205434,5,1.7556416
2004-06-12,234753400,1.7273248,7.62,7.426,16.12,11.59,2.7,11.4690317554601,5,1.7273248
2004-06-13,234753400,1.73015648,1.02,7.212,16.7366666666667,11.61,2.75,11.5154163636813,4.9,1.73015648
2004-06-14,234753400,1.77546336,7.62,7.34,16.81,11.63,2.8,11.6660774148787,4.8,1.77546336
2004-06-15,234753400,1.77829504,0.51,7.418,17.2266666666667,11.66,2.85,11.7109242809772,4.8,1.77829504
2004-06-16,234753400,1.50928544,0,7.274,17.95,11.68,2.9,11.0474596782515,4.7,1.50928544
2004-06-17,234753400,1.4016816,0,7.352,18.32,11.7,2.95,10.7770876656716,4.7,1.4016816
2004-06-18,234753400,1.30823616,0,7.422,17.4733333333333,11.73,3,10.531365580148,4.6,1.30823616
2004-06-19,234753400,1.22045408,0,7.364,17.6166666666667,11.75,3.05,10.2878353102974,4.5,1.22045408
2004-06-20,234753400,1.14399872,0,7.502,17.57,11.78,3.1,10.0665470317632,4.5,1.14399872
2004-06-21,234753400,1.10152352,0,7.464,17.5766666666667,11.8,3.14,9.94966595821248,4.4,1.10152352
2004-06-22,234753400,1.0194048,0,7.482,17.4066666666667,11.82,3.19,9.68566763229904,4.3,1.0194048
2004-06-23,234753400,1.05621664,5.08,7.53888888888889,17.6333333333333,11.85,3.24,9.84205493369426,4.3,1.05621664
2004-06-24,234753400,1.02223648,4.06,7.394,16.55,11.84,3.25,9.74365548633444,4.2,1.02223648
2004-06-25,234753400,0.99391968,0,7.538,16.26,11.82,3.21,9.66214088661423,4.2,0.99391968
2004-06-26,234753400,1.0194048,5.59,7.524,16.3633333333333,11.79,3.17,9.77742299068949,4.2,1.0194048
