SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2010-1005,Toolik Main,07-May-2010,3,.,.,.,.,.,.,.,15.900,15.900,.,.,.,.,.,.,.,.,482,.,0.812,.,.,.,.,.,.,.,
2010-1006,Toolik Main,07-May-2010,16,.,.,.,.,.,.,.,17.200,17.200,.,.,.,.,.,.,.,.,456,.,0.845,.,.,.,.,.,.,.,
2010-0754,Horn Lake,15-Jun-2010,0,.,.,.,0.600,.,0.330,0.110,23.300,.,.,0.800,.,.,65.3,.,1164.00,.,711,.,0.166,.,.,89.70,34.10,17.20,9.61,6.3,Converted alkalinity value from ueqL to meqL
2010-0232,Toolik Main,18-Jun-2010,0,4.36,4.66,0.59,0.596,.,0.039,0.385,11.600,16.012,.,0.086,.,.,61.8,4.41,488.88,40.70,384,744,0.631,.,.,.,.,.,.,.,
2010-0233,Toolik Main,18-Jun-2010,1,4.40,4.64,0.46,0.434,.,0.049,0.447,11.400,15.685,.,0.062,.,.,60.0,4.29,473.68,39.44,381,753,0.632,.,.,.,.,.,.,.,
2010-0234,Toolik Main,18-Jun-2010,3,3.58,3.73,0.29,0.151,.,0.026,0.620,11.200,16.286,.,0.062,.,.,71.2,5.09,502.89,41.87,381,759,0.626,.,.,.,.,.,.,.,
2010-0235,Toolik Main,18-Jun-2010,5,3.45,3.67,0.44,0.049,.,0.034,0.929,11.500,15.153,.,0.062,.,.,51.2,3.65,404.59,33.69,378,802,0.632,.,.,.,.,.,.,.,
2010-0236,Toolik Main,18-Jun-2010,8,1.74,1.85,0.22,0.080,.,0.029,1.649,11.600,14.705,.,0.062,.,.,43.5,3.11,320.51,26.68,383,856,0.651,.,.,.,.,.,.,.,
2010-0237,Toolik Main,18-Jun-2010,12,0.95,1.07,0.23,0.106,.,0.034,1.862,12.500,14.973,.,0.050,.,.,34.6,2.47,295.83,24.63,385,893,0.670,.,.,.,.,.,.,.,
2010-0238,Toolik Main,18-Jun-2010,16,1.15,1.28,0.26,0.225,.,0.039,2.441,13.300,15.520,.,0.038,.,.,31.1,2.22,268.59,22.36,392,956,0.693,.,.,.,.,.,.,.,
2010-0239,Toolik Main,18-Jun-2010,20,0.88,1.02,0.26,0.306,.,0.037,2.397,13.300,15.689,.,0.050,.,.,33.5,2.39,281.62,23.45,393,988,0.711,.,.,.,.,.,.,.,
2010-0233.1,Toolik Main - Dup,18-Jun-2010,1,4.40,4.62,0.42,0.185,.,0.041,0.443,.,.,.,0.074,.,.,58.3,4.16,440.32,36.66,.,.,.,.,.,.,.,.,.,.,
2010-2000,I1,22-Jun-2010,1,0.53,0.64,0.20,0.135,.,0.014,0.196,11.000,13.496,.,0.080,.,.,35.0,2.50,297.54,24.77,370,304,0.248,.,.,.,.,.,.,.,
2010-2001,I1,22-Jun-2010,5,1.38,1.57,0.37,0.084,.,0.009,0.185,12.100,15.627,.,.,.,.,49.4,3.53,401.83,33.46,367,381,0.252,.,.,.,.,.,.,.,
2010-2002,I1,22-Jun-2010,9,3.78,4.30,1.02,0.054,.,0.032,0.193,11.100,15.804,.,.,.,.,65.9,4.70,498.97,41.54,358,456,0.254,.,.,.,.,.,.,.,
2010-2003,I2,22-Jun-2010,1,0.69,0.84,0.29,0.226,.,0.034,0.270,15.900,18.875,.,0.120,.,.,41.7,2.98,312.39,26.01,514,254,0.203,.,.,.,.,.,.,.,
2010-2004,I2,22-Jun-2010,4,3.17,3.46,0.57,0.158,.,0.019,0.254,13.700,17.985,.,0.050,.,.,60.0,4.29,425.52,35.43,504,339,0.212,.,.,.,.,.,.,.,
2010-2005,I2,22-Jun-2010,14,0.61,0.79,0.35,0.852,.,0.028,1.265,14.800,17.390,.,0.060,.,.,36.3,2.59,358.95,29.89,502,483,0.220,.,.,.,.,.,.,.,
2010-2006,I3,22-Jun-2010,1,0.68,0.79,0.20,0.104,.,0.084,0.107,11.100,14.923,.,0.040,.,.,53.6,3.82,420.51,35.01,413,268,0.216,.,.,.,.,.,.,.,
