SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
2010-0754,Horn Lake,15-Jun-10,0,0.00,13:59,.,13.2,24.80,6.73,.,.,.,.,.,.,.,.,.,
2010-0232,Toolik,18-Jun-10,0,0,10:08,7.2,7.16,73.00,7.22,91.9,10.9,.,0.06,2.50,226,.,.,5.9,
,Toolik,18-Jun-10,0.50,0.54,10:10,7.2,7.11,72.90,7.19,91.5,10.87,.,0.08,3.43,107,.,.,5.9,
2010-0233,Toolik,18-Jun-10,1,1.03,10:11,7.2,7.07,72.90,7.19,91.3,10.85,.,0.09,3.82,61,.,.,5.9,
,Toolik,18-Jun-10,2.00,2.03,10:13,7.2,7,72.70,7.17,90.8,10.82,.,0.09,3.94,18,.,.,5.9,
2010-0234,Toolik,18-Jun-10,3,3.02,10:16,7.2,6.8,72.60,7.15,90.1,10.78,.,0.09,4.21,12,.,.,5.9,
,Toolik,18-Jun-10,4.00,4.03,10:18,7.2,5.78,72.60,7.08,85.2,10.47,.,0.08,3.44,8,.,.,5.9,
2010-0235,Toolik,18-Jun-10,5,5.02,10:20,7.1,5.64,72.70,7.06,84.2,10.38,.,0.06,2.69,4,.,.,5.9,
,Toolik,18-Jun-10,6.00,5.99,10:22,7.1,5.42,73.00,7.05,82.9,10.28,.,0.05,2.18,3,.,.,5.9,
,Toolik,18-Jun-10,7.00,7.01,10:24,7.1,5.03,74.60,7.01,80.4,10.06,.,0.04,1.84,2,.,.,5.9,
2010-0236,Toolik,18-Jun-10,8,8.01,10:26,7.1,4.84,75.40,7,79.2,9.97,.,0.04,1.62,1,.,.,5.9,
,Toolik,18-Jun-10,9.00,9.01,10:27,7.1,4.82,75.60,7,78.9,9.94,.,0.04,1.63,,.,.,5.9,
,Toolik,18-Jun-10,10.00,10.01,10:28,7.1,4.81,75.30,7,78.8,9.93,.,0.04,1.65,,.,.,5.9,
,Toolik,18-Jun-10,11.00,11.01,10:30,7.1,4.76,76.00,6.99,78.5,9.9,.,0.04,1.65,,.,.,5.9,
2010-0237,Toolik,18-Jun-10,12,12.01,10:31,7.1,4.51,77.30,6.98,76.6,9.73,.,0.04,1.41,,.,.,5.9,
,Toolik,18-Jun-10,13.00,13.01,10:32,7.1,4.33,77.80,6.97,75.5,9.62,.,0.03,1.34,,.,.,5.9,
,Toolik,18-Jun-10,14.00,14.02,10:34,7.1,4.16,79.30,6.95,74.1,9.49,.,0.03,1.30,,.,.,5.9,
,Toolik,18-Jun-10,15,15,10:35,7.1,4.1,79.80,6.94,73.2,9.4,.,0.03,1.45,,.,.,5.9,
2010-0238,Toolik,18-Jun-10,16,16,10:37,7.1,3.98,80.70,6.93,71.6,9.21,.,0.03,1.24,,.,.,5.9,
,Toolik,18-Jun-10,17,17,10:39,7.1,3.91,81.00,6.93,71.4,9.2,.,0.03,1.26,,.,.,5.9,
,Toolik,18-Jun-10,18.00,18.01,10:40,7.1,3.88,81.20,6.92,70.8,9.14,.,0.03,1.30,,.,.,5.9,
,Toolik,18-Jun-10,19.00,18.99,10:42,7.1,3.89,81.60,6.92,70.8,9.13,.,0.03,1.24,,.,.,5.9,
,Toolik,18-Jun-10,19.50,19.53,10:44,7.1,3.85,81.60,6.92,70.5,9.1,.,0.04,1.22,,.,.,5.9,
2010-0239,Toolik,18-Jun-10,20,20.01,10:45,7.1,3.85,81.80,6.92,70.1,9.05,.,0.03,1.24,,.,.,5.9,Replaced values downloaded from Surveyor with those recorded in Fieldbook
,I1,22-Jun-10,0,0.02,11:32,7.4,11.94,27.40,7.12,98.1,10.39,.,0.01,0.18,1148,.,.,4.2,
,I1,22-Jun-10,0.5,0.51,11:34,7.4,11.93,27.60,7.09,98,10.38,.,0.01,0.28,980,.,.,4.2,
2010-2000,I1,22-Jun-10,1,0.98,11:36,7.4,11.9,27.40,7.08,97.9,10.37,.,0.01,0.28,374,.,.,4.2,
,I1,22-Jun-10,1,0.99,11:35,7.4,11.9,27.40,7.07,97.8,10.37,.,0.01,0.28,318,.,.,4.2,
,I1,22-Jun-10,2,1.99,11:37,7.4,11.74,27.40,7.04,97.5,10.37,.,0.01,0.36,221,.,.,4.2,
,I1,22-Jun-10,3,3,11:38,7.4,11.36,27.50,7.03,97,10.41,.,0.02,0.59,145,.,.,4.2,
,I1,22-Jun-10,4,4.02,11:40,7.3,10.24,27.30,6.95,95.3,10.5,.,0.03,1.28,87,.,.,4.2,
2010-2001,I1,22-Jun-10,5,4.99,11:41,7.3,8.25,27.30,6.76,90.9,10.5,.,0.06,2.44,51,.,.,4.2,
,I1,22-Jun-10,6,6.02,11:44,7.3,7.19,27.20,6.67,86.7,10.27,.,0.09,3.98,27,.,.,4.2,
,I1,22-Jun-10,7,6.98,11:45,7.3,6.67,27.20,6.63,83,9.97,.,0.10,4.43,16,.,.,4.2,
,I1,22-Jun-10,8,7.98,11:46,7.3,6.34,27.30,6.61,80.2,9.71,.,0.08,3.50,9,.,.,4.2,
2010-2002,I1,22-Jun-10,9,8.99,.,.,6.28,27.30,6.59,79.4,9.62,.,0.08,3.43,5,.,.,4.2,"values for this depth not saved to Surveyor, used values written in fieldbook"
,I1,22-Jun-10,9.5,9.49,11:49,7.3,6.17,27.30,6.55,75.9,9.23,.,0.07,3.12,4,.,.,4.2,
,I1,22-Jun-10,10,9.99,11:50,7.3,6.16,27.30,6.55,71.8,8.73,.,0.08,3.67,3,.,.,4.2,
,I2,22-Jun-10,0,-0.01,9:56,7.6,12.06,24.40,7.06,98.5,10.4,.,0.02,0.58,1055,.,.,3.5,replaced PAR value w/value from notebook
,I2,22-Jun-10,0.50,0.52,9:57,7.6,12.07,24.40,7.04,98.2,10.37,.,0.02,0.53,581,.,.,3.5,
2010-2003,I2,22-Jun-10,1,0.99,9:59,7.6,12,24.50,7.03,98.1,10.38,.,0.02,0.69,164,.,.,3.5,
,I2,22-Jun-10,2.00,1.99,10:01,7.6,11.74,24.40,7.01,97.5,10.38,.,0.03,1.02,112,.,.,3.5,
,I2,22-Jun-10,3.00,3.01,10:02,7.6,11.04,24.10,6.93,96.1,10.39,.,0.04,1.61,66,.,.,3.5,
2010-2004,I2,22-Jun-10,4,3.99,10:04,7.5,7.59,24.60,6.7,89.9,10.56,.,0.07,3.19,27,.,.,3.5,
,I2,22-Jun-10,5.00,5.03,10:06,7.5,6.34,24.60,6.59,85.5,10.36,.,0.07,3.07,13,.,.,3.5,
,I2,22-Jun-10,6.00,5.97,10:08,7.5,5.26,24.40,6.53,80.4,10.01,.,0.05,1.92,4,.,.,3.5,
,I2,22-Jun-10,7.00,6.99,10:10,7.5,4.98,24.70,6.51,79,9.91,.,0.03,1.36,2,.,.,3.5,
,I2,22-Jun-10,8.00,8.01,10:11,7.5,4.76,24.80,6.5,77.6,9.79,.,0.03,1.13,1,.,.,3.5,
,I2,22-Jun-10,9.00,9.01,10:12,7.5,4.58,24.80,6.49,76.8,9.73,.,0.02,0.90,,.,.,3.5,
,I2,22-Jun-10,10.00,9.97,10:13,7.5,4.52,24.80,6.47,75,9.52,.,0.02,0.89,,.,.,3.5,
,I2,22-Jun-10,11,11,10:15,7.4,4.35,25.10,6.47,74.5,9.49,.,0.02,0.86,,.,.,3.5,
,I2,22-Jun-10,12.00,12.02,10:16,7.4,4.25,25.00,6.46,72.8,9.31,.,0.02,0.86,,.,.,3.5,
,I2,22-Jun-10,13,13,10:17,7.5,4.17,25.40,6.45,72,9.22,.,0.02,0.84,,.,.,3.5,
2010-2005,I2,22-Jun-10,14,13.98,10:18,7.4,4.1,25.60,6.44,69.9,8.97,.,0.02,0.90,,.,.,3.5,
,I2,22-Jun-10,15,15,10:21,7.4,4.05,25.60,6.42,68.3,8.78,.,0.02,0.92,,.,.,3.5,
,I2,22-Jun-10,16,16,10:23,7.4,4.05,25.80,6.41,67.9,8.72,.,0.02,0.91,,.,.,3.5,
,I2,22-Jun-10,16.50,16.58,10:24,7.4,3.95,27.80,6.67,21.6,2.79,.,0.00,0.00,,.,.,3.5,
,I2,22-Jun-10,16.50,16.58,10:24,7.4,3.95,27.20,6.62,27.2,3.5,.,0.00,0.00,,.,.,3.5,
,I3,22-Jun-10,0,0,12:48,7.3,14.44,24.40,7.06,95.5,9.56,.,0.01,0.43,897,.,.,4.5,
,I3,22-Jun-10,0.50,0.53,13:08,7.2,14.45,24.70,7.04,95,9.52,.,0.01,0.46,772,.,.,4.5,
2010-2006,I3,22-Jun-10,1,1.02,13:07,7.3,14.33,24.60,7.03,94.8,9.52,.,0.02,0.49,434,.,.,4.5,
,I3,22-Jun-10,2,2,13:06,7.2,14.3,24.70,7.01,94.7,9.51,.,0.02,0.67,138,.,.,4.5,
2010-2007,I3,22-Jun-10,3,3.15,12:55,7.3,11.96,24.70,6.84,92.3,9.76,.,0.03,1.16,54,.,.,4.5,
,I3,22-Jun-10,4.00,4.01,12:57,7.3,8.6,23.90,6.69,92.8,10.63,.,0.10,4.37,46,.,.,4.5,
,I3,22-Jun-10,4.5,4.5,13:00,7.3,8.33,24.00,6.63,89.9,10.37,.,0.12,5.43,36,.,.,4.5,
,I4,22-Jun-10,0,0.02,14:02,7.3,14.36,24.60,7.11,96.7,9.7,.,0.02,0.58,1347,.,.,8,
,I4,22-Jun-10,0.5,0.5,14:05,7.3,14.34,24.40,7.06,96.5,9.69,.,0.02,0.63,902,.,.,8,
2010-2008,I4,22-Jun-10,1,0.99,14:07,7.3,14.29,24.60,7.07,96.3,9.67,.,0.02,0.65,437,.,.,8,
,I4,22-Jun-10,2,1.98,14:10,7.3,14.05,24.60,7.03,95.8,9.67,.,0.03,1.07,212,.,.,8,
,I4,22-Jun-10,3,2.97,14:11,7.2,13.31,24.20,6.97,95.2,9.77,.,0.05,1.89,101,.,.,8,
2010-2009,I4,22-Jun-10,4,4,14:14,7.2,7.13,25.20,6.44,76.5,9.08,.,0.12,5.42,36,.,.,8,
,I4,22-Jun-10,5,5,14:15,7.2,6.41,25.00,6.33,65.5,7.92,.,0.10,4.38,16,.,.,8,
2010-2010,I4,22-Jun-10,6,5.97,14:17,7.2,5.85,25.30,6.28,58.9,7.23,.,0.07,3.06,7,.,.,8,
,I4,22-Jun-10,7.00,6.99,14:18,7.2,5.45,25.60,6.22,48.7,6.04,.,0.06,2.53,2,.,.,8,
,I5,22-Jun-10,0.00,0.03,15:28,7.3,12.53,23.10,6.91,97.9,10.23,.,0.02,0.51,1112,.,.,3.3,
,I5,22-Jun-10,0.50,0.52,15:29,7.3,12.52,23.10,6.9,97.9,10.24,.,0.02,0.59,963,.,.,3.3,
2010-2011,I5,22-Jun-10,1,0.99,15:29,7.3,12.49,23.10,6.88,97.8,10.23,.,0.02,0.56,463,.,.,3.3,"values for this depth not saved to Surveyor, used values written in fieldbook"
,I5,22-Jun-10,2.00,1.99,15:34,7.2,12.22,22.90,6.87,97.9,10.3,.,0.02,0.74,269,.,.,3.3,
,I5,22-Jun-10,2.00,2.02,15:34,7.2,12.23,22.90,6.87,97.9,10.3,.,0.02,0.76,236,.,.,3.3,
,I5,22-Jun-10,3.00,3.02,15:35,7.2,12.1,23.00,6.85,97.6,10.3,.,0.03,1.22,97,.,.,3.3,
2010-2012,I5,22-Jun-10,4,4,15:37,7.2,9,22.80,6.6,89.5,10.15,.,0.06,2.50,61,.,.,3.3,
,I5,22-Jun-10,6,6,15:41,7.2,7.16,23.10,6.44,81.7,9.69,.,0.07,3.14,16,.,.,3.3,
,I5,22-Jun-10,7,7,15:42,7.2,6.14,23.00,6.38,77.3,9.41,.,0.06,2.77,9,.,.,3.3,
2010-2013,I5,22-Jun-10,8,8,.,.,5.89,22.90,6.36,75.5,9.25,.,0.05,2.21,5,.,.,3.3,"values for this depth not saved to Surveyor, used values written in fieldbook"
,I5,22-Jun-10,8.50,8.52,15:45,7.2,5.76,22.90,6.34,74.3,9.13,.,0.05,1.93,4,.,.,3.3,
,I6 Headwater Lake,22-Jun-10,0,-0.07,17:34,7.2,13.79,90.10,7.59,95.1,9.66,.,0.01,0.35,387,.,.,5.25,
,I6 Headwater Lake,22-Jun-10,0.50,0.49,17:38,7.2,13.83,90.50,7.58,94.8,9.62,.,0.01,0.39,269,.,.,5.25,
2010-2014,I6 Headwater Lake,22-Jun-10,1,1.01,17:40,7.2,13.81,90.50,7.58,94.7,9.61,.,0.01,0.41,172,.,.,5.25,
,I6 Headwater Lake,22-Jun-10,2.00,1.96,17:42,7.2,13.68,90.40,7.58,94.5,9.63,.,0.02,0.53,135,.,.,5.25,
,I6 Headwater Lake,22-Jun-10,3.00,3.01,17:44,7.1,13.23,90.30,7.54,93.4,9.6,.,0.02,0.66,88,.,.,5.25,
2010-2015,I6 Headwater Lake,22-Jun-10,4,4.03,17:47,7.1,9.15,92.30,7.14,86.8,9.81,.,0.03,1.32,52,.,.,5.25,
,I6 Headwater Lake,22-Jun-10,5.00,5.05,17:50,7.1,7.06,95.00,7.06,79.5,9.46,.,0.06,2.36,26,.,.,5.25,
2010-2016,I6 Headwater Lake,22-Jun-10,6,6,17:53,7.1,6.06,95.60,6.98,69.8,8.51,.,0.15,6.99,14,.,.,5.25,
,I6 Headwater Lake,22-Jun-10,7.11,7.11,17:55,7.1,5.85,96.30,6.93,53,6.49,.,0.24,11.21,7,.,.,5.25,
,I Swamp,23-Jun-10,0.01,0.01,14:53,7.1,13.8,41.60,7.15,92.8,9.42,.,0.02,0.51,332,.,.,4.75,
,I Swamp,23-Jun-10,0.5,0.5,14:54,7.1,13.81,41.50,7.14,92.8,9.42,.,0.02,0.57,218,.,.,4.75,
2010-2026,I Swamp,23-Jun-10,1,1,14:55,7.1,13.83,41.30,7.13,92.7,9.41,.,0.02,0.53,550,.,.,4.75,
,I Swamp,23-Jun-10,2,2,14:57,7.1,13.64,41.20,7.12,92.3,9.4,.,0.02,0.57,210,.,.,4.75,
2010-2027,I Swamp,23-Jun-10,3,3,14:58,7.1,12.78,41.00,7.06,90.7,9.42,.,0.02,0.81,209,.,.,4.75,
,I Swamp,23-Jun-10,4,4,15:00,7,10.5,36.40,6.85,84.3,9.23,.,0.04,1.87,30,.,.,4.75,
,I Swamp,23-Jun-10,5,5,15:02,7,9.68,34.90,6.72,70.7,7.89,.,0.13,5.70,18,.,.,4.75,
,I Swamp,23-Jun-10,5.5,5.5,15:04,7,9.47,35.00,6.65,64.9,7.28,.,0.16,7.23,28,.,.,4.75,
,I6,23-Jun-10,0,-0.01,11:15,7.2,12.6,39.00,7.25,97,10.12,.,0.02,0.56,259,.,.,4,
,I6,23-Jun-10,0.50,0.51,11:16,7.2,12.61,39.20,7.24,96.9,10.11,.,0.02,0.69,128,.,.,4,
2010-2017,I6,23-Jun-10,1,1.01,11:17,7.2,12.59,39.00,7.24,96.8,10.11,.,0.02,0.80,52,.,.,4,
,I6,23-Jun-10,2,2,11:19,7.2,12.55,39.30,7.23,96.7,10.1,.,0.02,0.87,27,.,.,4,
,I6,23-Jun-10,3,3,11:20,7.2,12.34,39.10,7.19,96.7,10.15,.,0.03,0.98,16,.,.,4,
2010-2018,I6,23-Jun-10,4,4.03,11:21,7.2,8.27,40.40,6.94,90.2,10.42,.,0.05,2.06,9,.,.,4,
,I6,23-Jun-10,5.00,4.97,11:24,7.1,6.23,40.40,6.8,83.4,10.12,.,0.09,4.11,7,.,.,4,
,I6,23-Jun-10,6.00,5.95,11:25,7.1,5.82,40.70,6.76,79.1,9.71,.,0.13,5.77,4,.,.,4,
,I6,23-Jun-10,7.00,6.98,11:28,7.1,5.51,40.90,6.74,77.2,9.55,.,0.08,3.40,,.,.,4,
,I6,23-Jun-10,8.00,8.01,11:29,7.1,5.27,41.40,6.72,75.1,9.35,.,0.05,2.09,,.,.,4,
,I6,23-Jun-10,9.00,9.02,11:30,7.1,5.16,41.80,6.72,74.4,9.29,.,0.04,1.64,,.,.,4,
,I6,23-Jun-10,10.00,9.97,11:32,7.1,5.06,42.30,6.7,73.2,9.17,.,0.03,1.23,,.,.,4,
,I6,23-Jun-10,11.00,10.99,11:33,7.1,5.02,42.80,6.7,72.1,9.03,.,0.03,1.22,,.,.,4,
2010-2019,I6,23-Jun-10,12,12.01,11:35,7.1,4.95,43.80,6.69,70.2,8.81,.,0.03,1.12,,.,.,4,
,I6,23-Jun-10,13.00,12.97,11:36,7.1,4.85,44.90,6.67,66.8,8.4,.,0.03,1.29,,.,.,4,
,I7,23-Jun-10,0.00,0.02,12:27,7.1,13.56,39.00,7.34,95.2,9.72,.,0.01,0.34,1404,.,.,4.6,
,I7,23-Jun-10,0.50,0.51,12:28,7.1,13.55,38.60,7.32,95.7,9.77,.,0.01,0.38,929,.,.,4.6,
2010-2020,I7,23-Jun-10,1,0.98,12:29,7.1,13.54,38.90,7.32,95.4,9.75,.,0.01,0.44,206,.,.,4.6,
,I7,23-Jun-10,2.00,1.96,12:32,7.1,13.51,38.90,7.31,95.4,9.76,.,0.02,0.55,198,.,.,4.6,
2010-2021,I7,23-Jun-10,3,2.98,12:33,7.1,10.68,37.90,7.09,94.2,10.27,.,0.02,0.85,125,.,.,4.6,
,I7,23-Jun-10,4.00,3.98,12:36,7.1,7.57,35.70,6.92,88.8,10.43,.,0.04,1.77,81,.,.,4.6,
,I7,23-Jun-10,5.00,4.97,12:37,7.1,6.41,37.80,6.83,81.2,9.82,.,0.08,3.56,40,.,.,4.6,
,I7,23-Jun-10,6,6,12:41,7.1,5.95,40.50,6.76,75.1,9.18,.,0.14,6.58,18,.,.,4.6,Depth sensor on hydrolab stopped working so I went with meter marks on cable to guage depth
,I7,23-Jun-10,7,7,12:43,7.1,5.52,47.80,6.71,63.8,7.89,.,0.09,4.13,10,.,.,4.6,
,I7,23-Jun-10,8,8,12:44,7.1,5.24,48.50,6.69,59.3,7.38,.,0.04,1.70,4,.,.,4.6,
,I7,23-Jun-10,9,9,12:45,7.1,5.13,50.80,6.69,57.9,7.23,.,0.04,1.52,2,.,.,4.6,
2010-2022,I7,23-Jun-10,10,10,12:46,7.1,5.1,51.00,6.69,56.9,7.12,.,0.03,1.35,1,.,.,4.6,
,I7,23-Jun-10,11,11,12:47,7.1,5.05,51.30,6.69,56.3,7.04,.,0.03,1.39,,.,.,4.6,
,I7,23-Jun-10,12,12,12:48,7.1,5.06,51.40,6.69,56,7.01,.,0.04,1.49,,.,.,4.6,
,I7,23-Jun-10,12.5,12.5,12:50,7.1,5.05,51.60,6.68,55.6,6.96,.,0.04,1.59,,.,.,4.6,
,I8,23-Jun-10,0.13,0.13,13:52,7.2,13.42,74.50,7.63,98.9,10.13,.,0.02,0.61,1108,.,.,3.3,
,I8,23-Jun-10,0.50,0.52,13:53,7.1,13.4,74.70,7.64,98.8,10.13,.,0.02,0.87,701,.,.,3.3,
2010-2023,I8,23-Jun-10,1,0.99,13:55,7.1,13.37,74.90,7.64,98.9,10.14,.,0.02,0.90,357,.,.,3.3,
,I8,23-Jun-10,2.00,1.98,13:57,7.1,12.47,75.10,7.59,98.7,10.32,.,0.04,1.59,278,.,.,3.3,
,I8,23-Jun-10,3.00,2.98,13:58,7.1,11.66,73.30,7.55,98.1,10.46,.,0.07,2.81,127,.,.,3.3,
2010-2024,I8,23-Jun-10,4,3.97,14:00,7.1,9.03,67.80,7.21,90.7,10.29,.,0.17,7.69,52,.,.,3.3,
,I8,23-Jun-10,5.00,4.98,14:01,7.1,7.09,67.10,6.98,77.6,9.22,.,0.14,6.40,5,.,.,3.3,
,I8,23-Jun-10,5.4,5.4,14:04,7.1,6.73,67.10,6.9,72.3,8.67,.,0.07,3.19,11,.,.,3.3,
,I8,23-Jun-10,6.45,6.45,14:07,7.1,6.71,67.70,6.88,70.9,8.51,.,0.08,3.25,7,.,.,3.3,
2010-2025,I8,23-Jun-10,7,7,.,.,6.71,67.70,6.88,.,.,.,.,.,.,.,.,3.3,
2010-0515,NE14,24-Jun-10,1,1.00,12:23,.,12.03,181.60,7.85,.,.,.,.,.,.,.,.,6.13,
2010-0516,NE14,24-Jun-10,4.5,4.50,12:29,.,9.13,183.65,7.9,.,.,.,.,.,.,.,.,6.13,
2010-0517,NE14,24-Jun-10,12,12.00,12:37,.,4.8,200.30,7.77,.,.,.,.,.,.,.,.,6.13,
2010-0240,Toolik,25-Jun-10,0,0,9:40,7,12.35,74.20,7.58,100.2,10.51,.,0.01,0.44,659,.,.,5,Depth sensor on Hydrolab not working so I used meter marks on Cable to guage depth
,Toolik,25-Jun-10,0.5,0.5,9:41,7,12.34,74.50,7.58,100.1,10.5,.,0.02,0.48,528,.,.,5,
2010-0241,Toolik,25-Jun-10,1,1,9:43,7,12.32,74.20,7.57,99.9,10.49,.,0.02,0.82,164,.,.,5,
