SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
,Toolik Main,05-May-2000,3,,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,05-May-2000,5,,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,05-May-2000,8,,0.1936,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,05-May-2000,12,,0.2028,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,05-May-2000,16,,0.1776,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,07-May-2000,0,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,Ice Surface
,N1,07-May-2000,12,,1.828,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,1,,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,3,,2.136,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,5,,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,8,,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,12,,0.3388,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toolik Main,08-Jun-2000,14,,0.3316,,,,,,,,,,,,,,,,,,,,,,,,,,
,N1,19-Jun-2000,0,.,1.44,.,0.053,.,0.165,.,.,.,.,.,.,.,.,.,.,.,.,.,1.042,15.52,8.33,474.05,96.67,6.09,8.18,.,
,N1,19-Jun-2000,1,.,1.70,.,0.033,.,0.098,.,.,.,.,.,.,.,.,.,.,.,.,.,1.041,15.40,7.14,499.00,95.64,6.52,8.70,.,
,N1,19-Jun-2000,3,.,1.39,.,0.040,.,0.091,.,.,.,.,.,.,.,.,.,.,.,.,.,1.092,16.25,6.48,573.85,102.02,7.39,8.70,.,
,N1,19-Jun-2000,5,.,2.94,.,0.264,.,0.858,.,.,.,.,.,.,.,.,.,.,.,.,.,1.814,27.25,6.01,873.25,152.20,10.44,10.23,.,
,N1,19-Jun-2000,8,.,2.64,.,0.169,.,0.223,.,.,.,.,.,.,.,.,.,.,.,.,.,1.844,27.23,6.53,870.76,154.26,10.44,10.23,.,
,N1,19-Jun-2000,12,.,1.05,.,15.729,.,1.861,.,.,.,.,.,.,.,.,.,.,.,.,.,1.781,22.56,8.77,885.73,158.37,11.74,11.51,.,
,Toolik Main,19-Jun-2000,0,.,2.00,.,0.129,.,0.031,.,.,.,.,.,.,.,.,.,.,.,.,.,0.423,9.48,10.39,202.10,41.14,7.83,7.67,.,
,Toolik Main,19-Jun-2000,1,.,2.17,.,0.111,.,0.196,.,.,.,.,.,.,.,.,.,.,.,.,.,0.438,9.96,5.56,202.10,42.37,6.96,7.93,.,
,Toolik Main,19-Jun-2000,3,.,2.67,.,0.093,.,0.201,.,.,.,.,.,.,.,.,.,.,.,.,.,0.461,10.61,4.71,204.59,46.07,7.39,7.67,.,
,Toolik Main,19-Jun-2000,5,.,2.02,.,0.103,.,0.459,.,.,.,.,.,.,.,.,.,.,.,.,.,0.529,12.94,322.13,242.02,52.65,9.57,7.67,.,
,Toolik Main,19-Jun-2000,8,.,1.95,.,0.183,.,0.120,.,.,.,.,.,.,.,.,.,.,.,.,.,0.541,14.12,4.81,256.99,55.53,10.87,7.67,.,
2000-0032,E5,22-Jun-2000,0,.,3.05,.,0.270,.,0.055,.,.,.,.,.,.,.,.,.,.,.,.,.,0.044,2.94,27.87,44.91,15.63,5.22,5.63,.,
2000-0033,E5,22-Jun-2000,1,.,2.83,.,0.069,.,0.105,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,2.92,4.41,49.90,15.22,5.22,5.37,.,
2000-0034,E5,22-Jun-2000,3,.,3.70,.,0.036,.,0.132,.,.,.,.,.,.,.,.,.,.,.,.,.,0.089,3.21,2.68,67.37,15.22,5.22,5.12,.,
2000-0035,E5,22-Jun-2000,5,.,2.89,.,0.065,.,0.234,.,.,.,.,.,.,.,.,.,.,.,.,.,0.089,2.88,105.95,47.41,15.22,4.35,4.86,.,
2000-0036,E5,22-Jun-2000,8,.,2.26,.,0.075,.,0.227,.,.,.,.,.,.,.,.,.,.,.,.,.,0.087,0.00,3.84,49.90,15.22,5.22,5.12,.,
2000-0037,E5,22-Jun-2000,10,.,2.34,.,0.173,.,0.146,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,3.12,49.90,15.22,4.78,5.12,.,
,E6,22-Jun-2000,0,.,2.09,.,0.792,.,0.171,.,.,.,.,.,.,.,.,.,.,.,.,.,0.090,0.00,7.56,44.91,13.99,7.39,5.12,.,
,E6,22-Jun-2000,1,.,2.17,.,0.056,.,0.147,.,.,.,.,.,.,.,.,.,.,.,.,.,0.082,0.00,10.46,42.42,13.99,6.52,5.12,.,
,E6,22-Jun-2000,2,.,5.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.086,0.00,4.61,54.89,13.99,6.09,5.37,.,
,E6,22-Jun-2000,3,.,,.,0.131,.,0.084,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
,N2 Fert,23-Jun-2000,0,.,0.34,.,0.017,.,0.001,.,.,.,.,.,.,.,.,.,.,.,.,.,0.610,39.13,10.39,548.90,100.78,5.65,6.39,.,
,N2 Fert,23-Jun-2000,1,.,0.77,.,0.016,.,0.043,.,.,.,.,.,.,.,.,.,.,.,.,.,1.073,39.27,6.45,548.90,100.37,5.65,6.65,.,
,N2 Fert,23-Jun-2000,3,.,3.73,.,0.055,.,0.057,.,.,.,.,.,.,.,.,.,.,.,.,.,2.403,20.82,18.12,1297.41,226.24,5.22,6.91,.,
,N2 Fert,23-Jun-2000,5,.,2.78,.,0.037,.,0.144,.,.,.,.,.,.,.,.,.,.,.,.,.,2.572,20.37,5.84,1364.77,236.53,13.05,6.65,.,
,N2 Fert,23-Jun-2000,8,.,6.87,.,1.710,.,0.174,.,.,.,.,.,.,.,.,.,.,.,.,.,2.675,45.45,7.15,1432.14,245.99,15.66,7.42,.,
,N2 Ref,23-Jun-2000,0,.,0.30,.,0.073,.,0.011,.,.,.,.,.,.,.,.,.,.,.,.,.,0.719,21.69,6.13,454.09,85.15,4.35,6.65,.,
,N2 Ref,23-Jun-2000,1,.,0.48,.,0.018,.,0.097,.,.,.,.,.,.,.,.,.,.,.,.,.,0.878,24.31,12.61,416.67,87.62,5.22,6.65,.,
,N2 Ref,23-Jun-2000,3,.,1.35,.,0.063,.,0.212,.,.,.,.,.,.,.,.,.,.,.,.,.,2.596,18.95,4.15,1262.48,244.76,15.66,6.91,.,
,N2 Ref,23-Jun-2000,5,.,5.27,.,0.038,.,0.229,.,.,.,.,.,.,.,.,.,.,.,.,.,2.642,26.88,.,1272.46,245.58,16.09,6.91,.,
,N2 Ref,23-Jun-2000,6,.,3.83,.,0.083,.,0.087,.,.,.,.,.,.,.,.,.,.,.,.,.,2.619,57.80,11.47,1210.08,244.76,15.66,6.91,.,
,NE9B,23-Jun-2000,1,.,0.64,.,0.094,.,0.106,.,.,.,.,.,.,.,54.87,.,350.60,.,.,.,0.625,162.71,8.89,598.80,172.36,17.83,5.88,.,
