time,flow
2000-01-01,3.258
2000-01-02,3.228
2000-01-03,3.317
2000-01-04,3.796
2000-01-05,4.662
2000-01-06,3.437
2000-01-07,3.377
2000-01-08,3.078
2000-01-09,3.019
2000-01-10,3.975
2000-01-11,5.977
2000-01-12,4.244
2000-01-13,3.855
2000-01-14,2.839
2000-01-15,3.288
2000-01-16,3.288
2000-01-17,3.288
2000-01-18,3.288
2000-01-19,3.288
2000-01-20,3.407
2000-01-21,3.288
2000-01-22,3.198
2000-01-23,3.198
2000-01-24,3.138
2000-01-25,2.989
2000-01-26,3.019
2000-01-27,2.869
2000-01-28,2.809
2000-01-29,2.690
2000-01-30,2.630
2000-01-31,2.540
2000-02-01,2.481
2000-02-02,2.451
2000-02-03,2.391
2000-02-04,2.301
2000-02-05,2.271
2000-02-06,2.182
2000-02-07,2.122
2000-02-08,2.032
2000-02-09,1.973
2000-02-10,2.092
2000-02-11,2.062
2000-02-12,1.973
2000-02-13,2.032
2000-02-14,4.184
2000-02-15,5.260
2000-02-16,3.078
2000-02-17,2.451
2000-02-18,2.391
2000-02-19,2.331
2000-02-20,2.451
2000-02-21,2.361
2000-02-22,2.331
2000-02-23,2.451
2000-02-24,2.929
2000-02-25,5.977
2000-02-26,8.548
2000-02-27,12.283
2000-02-28,33.174
2000-02-29,15.690
2000-03-01,10.968
2000-03-02,9.594
2000-03-03,7.741
2000-03-04,6.605
2000-03-05,6.007
2000-03-06,5.350
2000-03-07,5.439
2000-03-08,8.010
2000-03-09,15.930
2000-03-10,24.328
2000-03-11,23.072
2000-03-12,47.221
2000-03-13,19.905
2000-03-14,13.270
2000-03-15,10.849
2000-03-16,10.132
2000-03-17,19.576
2000-03-18,11.716
2000-03-19,9.623
2000-03-20,8.368
2000-03-21,7.472
2000-03-22,6.784
2000-03-23,6.187
2000-03-24,5.768
2000-03-25,5.439
2000-03-26,5.678
2000-03-27,5.111
2000-03-28,19.217
2000-03-29,12.224
2000-03-30,9.145
2000-03-31,7.741
2000-04-01,6.844
2000-04-02,6.336
2000-04-03,6.635
2000-04-04,19.367
2000-04-05,13.867
2000-04-06,9.952
2000-04-07,8.308
2000-04-08,7.442
2000-04-09,9.115
2000-04-10,7.442
2000-04-11,6.724
2000-04-12,6.575
2000-04-13,6.336
2000-04-14,6.396
2000-04-15,6.485
2000-04-16,6.067
2000-04-17,6.127
2000-04-18,9.026
2000-04-19,7.651
2000-04-20,6.993
2000-04-21,11.955
2000-04-22,21.728
2000-04-23,15.810
2000-04-24,12.194
2000-04-25,9.952
2000-04-26,8.667
2000-04-27,7.860
2000-04-28,7.472
2000-04-29,6.635
2000-04-30,5.977
2000-05-01,5.529
2000-05-02,5.230
2000-05-03,4.782
2000-05-04,4.483
2000-05-05,4.274
2000-05-06,4.334
2000-05-07,3.945
2000-05-08,3.825
2000-05-09,3.586
2000-05-10,4.035
2000-05-11,5.798
2000-05-12,5.529
2000-05-13,6.067
2000-05-14,7.980
2000-05-15,5.828
2000-05-16,5.170
2000-05-17,4.752
2000-05-18,5.320
2000-05-19,10.640
2000-05-20,11.148
2000-05-21,9.534
2000-05-22,8.577
2000-05-23,10.042
2000-05-24,26.958
2000-05-25,18.679
2000-05-26,12.791
2000-05-27,10.012
2000-05-28,8.458
2000-05-29,7.412
2000-05-30,6.665
2000-05-31,5.888
2000-06-01,5.200
2000-06-02,4.782
2000-06-03,4.543
2000-06-04,4.124
2000-06-05,4.005
2000-06-06,31.082
2000-06-07,46.922
2000-06-08,16.318
2000-06-09,10.998
2000-06-10,8.577
2000-06-11,7.442
2000-06-12,13.927
2000-06-13,11.267
2000-06-14,11.716
2000-06-15,9.803
2000-06-16,8.577
2000-06-17,7.382
2000-06-18,7.143
2000-06-19,7.621
2000-06-20,6.127
2000-06-21,5.559
2000-06-22,8.846
2000-06-23,6.067
2000-06-24,5.260
2000-06-25,4.991
2000-06-26,7.890
2000-06-27,6.605
