"date","EpiTemp","HypoTemp"
1995-04-10,4,3.85
1995-04-25,6.8,4.7
1995-05-08,9.4,6.4
1995-05-23,12.8,5.2
1995-06-12,18.6,10.25
1995-06-27,22.9,5.7
1995-07-17,25.6,11.15
1995-08-01,26.1,7.7
1995-08-14,25.5,12.1
1995-08-29,23.4,12.9
1995-09-11,21.2,19.6
1995-09-26,18,16.5
1995-09-28,18,16.4
1995-10-04,17.8,16.9
1995-10-16,15.6,15.6
1995-10-31,12.3,9.9
1995-11-13,8.2,6.6
1995-11-28,5,5
1996-04-23,8.1,4.73
1996-05-06,9,5.27
1996-06-03,16.7,8.4
1996-06-18,21.1,7.77
1996-07-01,18.15,8.9
1996-07-16,22.1,9.87
1996-07-29,20.15,8.43
1996-08-13,20.55,8.1
1996-08-26,22.4,11.93
1996-09-10,21.4,9.1
1996-09-23,18.83,10.25
1996-10-08,15.13,8.7
1996-10-21,13.97,10.5
1996-11-25,7.75,5.8
1997-04-14,6.1,4.22
1997-04-29,6.5,4.45
1997-05-12,8.3,6.15
1997-06-03,14.8,7.63
1997-06-09,16.1,7.77
1997-07-14,22,9.23
1997-07-29,23.6,8.75
1997-08-11,19.45,11.5
1997-08-26,21.1,10.7
1997-09-08,20.45,13.1
1997-09-23,19.2,14.7
1997-10-06,16.95,16.55
1997-10-21,14.65,14.5
1997-11-03,9.5,11.3
1997-12-09,2.05,2.7
1998-04-13,7.2,4.5
1998-04-28,8.9,4.7
1998-05-11,13.5,6.75
1998-06-08,16.2,7.3
1998-06-23,19.4,5.8
1998-07-07,21.6,5.3
1998-07-13,20.5,7.1
1998-08-10,24,12
1998-08-25,22.6,7.7
1998-09-21,21.3,15.4
1998-10-05,17.7,17.15
1998-10-20,15.4,15.3
1998-11-02,12.7,12.25
1998-11-17,9.1,8.2
1998-11-30,7.1,5.7
1998-12-15,5.8,5.5
1999-04-12,5.85,4.3
1999-04-27,7,4.7
1999-05-10,12.7,7.7
1999-05-25,15.8,5.4
1999-06-14,21.3,8.5
1999-06-29,22.5,5.9
1999-07-26,25.4,11.3
1999-08-09,24.2,11.75
1999-08-24,22.4,16.8
1999-09-07,22.9,21.45
1999-10-04,17.2,15.5
1999-10-19,14.2,12
1999-11-01,12.4,10.1
1999-11-16,9.3,9.2
1999-12-06,7.2,4.7
2000-04-10,6.15,4.8
2000-04-25,7.6,5.35
2000-05-08,12.4,6.6
2000-05-23,13.8,6.9
2000-06-12,18.2,6.85
2000-06-27,19.7,10.15
2000-07-18,21.7,11.8
2000-08-01,22.4,11.5
2000-08-14,22.7,12.1
2000-08-29,22.4,11.1
2000-09-11,21.4,10.75
2000-09-26,16.55,7.4
2000-10-10,13.8,7.5
2000-10-24,14,8.35
2000-11-13,10.95,9.2
2001-04-23,7.6,4.2
2001-05-07,11.2,4.4
2001-05-22,15,6.25
2001-06-04,14.6,6.95
2001-06-19,18.5,5
2001-07-16,21.3,9.65
2001-07-31,23.9,12.85
2001-08-13,24.2,6.5
2001-08-28,23.3,11.8
2001-09-10,19.4,13.7
2001-09-25,19.85,18.8
2001-10-09,16.4,15.9
2001-10-23,13.9,NA
2002-04-15,7.9,4.6
2002-04-30,9.1,5.55
2002-05-13,11.3,6.3
2002-05-29,13.7,6.3
2002-06-10,17.8,11.17
2002-06-25,21.27,6.7
2002-07-08,24,13.1
2002-07-24,24,14.05
2002-08-06,25.27,14.1
2002-08-20,25.7,14.2
2002-09-03,21,15.9
2002-09-16,21.3,20.1
2002-10-01,19.7,18.4
2002-10-28,12.4,9.4
2002-11-12,9.4,8
2002-11-25,7.23,6.1
2003-04-21,6.6,4.2
2003-05-12,10.2,4.4
2003-05-28,14.3,5.1
2003-06-09,16,8.35
2003-06-24,18.8,6.5
2003-07-14,22,9.8
2003-07-29,23.2,9.6
2003-08-11,25,9.8
2003-08-26,24.1,9.55
2003-09-15,21.1,7.5
2003-09-30,18.3,8.7
2003-10-14,15.8,7.6
2003-10-28,12.15,8
2003-11-19,8.8,6.7
2003-11-24,8.3,7.2
2004-04-12,3.6,3.7
2004-05-10,11.5,6.3
2004-05-24,19.3,8.85
2004-06-07,18,9.7
2004-06-21,20.8,8.5
2004-07-12,22.8,9.1
2004-07-28,22.6,10.85
2004-08-09,22.5,8.15
2004-08-23,22.2,10.15
2004-09-13,21.8,9.45
2004-09-30,15.05,8.8
2004-10-12,15.35,12.8
2004-10-25,13.8,11.5
2004-11-08,11.8,10.2
2004-11-22,9.8,7.3
2004-12-13,6.65,4.9
2005-04-25,7.5,5
2005-05-09,9.7,5.45
2005-05-23,14.1,7.65
2005-06-13,19.7,5.4
2005-06-27,23.9,9.95
2005-07-11,23.6,9.5
2005-07-25,25.8,10.95
2005-08-08,26.1,12.45
2005-08-22,24.6,11.9
2005-09-12,21.8,13.6
2005-09-26,20.7,20.5
2005-10-24,14,9.7
2005-11-14,9.55,7.5
2006-04-10,3.6,3.55
2006-04-24,8.4,5.1
2006-05-08,13,7.2
2006-05-22,12.2,6.1
2006-06-12,15.9,8.4
2006-06-26,19.1,5.4
2006-07-11,20.35,5.6
2006-07-24,22.5,6
2006-07-31,25.2,12.15
2006-08-07,23,10.9
2006-08-16,23.6,13.12
2006-08-21,23.4,13
2006-09-11,17.6,8.6
2006-09-25,17.25,8.7
2006-10-10,15.75,11.9
2006-10-23,13.6,11.1
2006-10-30,11.5,9.8
2006-11-13,10.45,8.7
2006-12-11,7.1,6
2007-04-10,2.25,3.4
2007-05-07,8.9,5.2
2007-05-21,13.2,6.55
2007-06-11,21.3,9.25
2007-07-09,23,10.1
2007-07-23,22.8,11.1
2007-08-13,24.8,7.9
2007-08-27,22.8,9.5
2007-09-10,19.3,9.5
2007-09-24,20.1,12.3
2007-10-09,19.95,17.7
2007-10-22,17.3,15.9
2007-11-13,11.2,9.3
2007-11-26,8.5,7.1
2008-04-15,6.3,4.75
2008-04-28,10.6,4.3
2008-05-13,11.9,5.85
2008-05-27,14.1,6.4
2008-06-10,19.55,5.2
2008-06-23,21.8,10.65
2008-07-15,24.3,11.6
2008-08-12,23.2,13.1
2008-08-26,23.2,11.4
2008-09-10,20.75,9.9
2008-10-15,16.95,15.2
2008-11-12,11,9.8
2009-04-14,5,3.9
2009-05-12,12.2,5.85
2009-06-16,17.7,5.5
2009-07-15,21.3,12.05
2009-08-11,22.8,14.15
2009-09-15,19.8,14.3
2009-10-14,15.6,14.5
2009-11-09,10.95,9.2
2010-04-13,9.5,6.1
2010-05-11,11.6,6.4
2010-06-15,21,10.2
2010-07-13,25.4,11.1
2010-08-10,25.4,13.85
2010-09-14,20.55,17
2010-10-13,15.75,12.7
2010-11-09,11,9
2011-04-25,6.7,4.9
2011-05-10,12.3,6.65
2011-06-14,21.1,10.3
2011-07-12,24.8,13.25
2011-08-09,25.1,12.85
2011-09-06,22.3,12.55
2011-09-23,19.1,16.1
2011-10-12,16.95,14.8
2011-11-15,11.6,9.9
2011-12-13,7.9,5.55
2012-03-21,6.6,4
2012-04-10,6.6,6.15
2012-05-15,13.1,6.6
2012-06-13,20,9.65
2012-07-10,25.2,14.55
2012-08-14,25.1,13.6
2012-09-11,19.95,9.9
2012-10-10,16.9,13.3
2012-11-14,9.5,8.3
2012-12-06,7.3,7.05
2013-04-16,4.4,4.1
2013-05-14,13,6.25
2013-06-11,18.5,9.9
2013-07-09,23.35,6.5
2013-08-12,22.9,13.35
2013-09-11,21.9,13.25
2013-10-16,17.4,15.2
2013-11-12,11.3,10.1
2013-12-04,7,4.7
2014-04-22,7.8,4.55
2014-05-12,10.8,6.55
2014-06-10,17.5,6
2014-07-16,24.5,12.6
2014-08-12,23.8,12.05
2014-09-09,22.5,12.95
2014-10-14,16.7,16.35
2014-11-12,11.55,10.1
2015-04-21,7.2,4.35
2015-05-12,13.1,4.2
2015-06-10,19.5,7.7
2015-07-13,22.9,7.05
2015-08-12,24,8.15
2015-09-09,24.1,14.4
2015-10-06,18.45,16.9
2015-11-04,13.05,10.1
2016-03-15,3.4,3.3
2016-04-12,5.5,5.25
2016-05-10,10.9,6.15
2016-06-07,20.2,8.85
2016-07-20,24.8,13.1
2016-08-02,25.2,13.3
