lakeid,basin,depth,area,volume,percentvol
"TR","South",35,120001.057,144001.2684,0.000873149
"TR","South",34,316366.423,316366.423,0.001918281
"TR","South",33,556368.537,556368.537,0.003373529
"TR","South",32,829098.212,829098.212,0.00502722
"TR","South",31,1101827.887,1101827.887,0.00668091
"TR","South",30,1320011.627,1320011.627,0.008003863
"TR","South",29,1483649.432,1483649.432,0.008996077
"TR","South",28,1636378.05,1636378.05,0.009922144
"TR","South",27,1854561.79,1854561.79,0.011245097
"TR","South",26,2160019.026,2160019.026,0.01309723
"TR","South",25,2443657.888,2443657.888,0.014817069
"TR","South",24,2727296.75,2727296.75,0.016536907
"TR","South",23,3000026.425,3000026.425,0.018190598
"TR","South",22,3250937.726,3250937.726,0.019711993
"TR","South",21,3425484.718,3425484.718,0.020770355
"TR","South",20,3610940.897,3610940.897,0.021894865
"TR","South",19,3807306.263,3807306.263,0.023085522
"TR","South",18,4167309.434,4167309.434,0.025268394
"TR","South",17,4407311.548,4407311.548,0.026723642
"TR","South",16,4647313.662,4647313.662,0.02817889
"TR","South",15,4898224.963,4898224.963,0.029700285
"TR","South",14,5214591.386,5214591.386,0.031618566
"TR","South",13,5520048.622,5520048.622,0.0334707
"TR","South",12,5847324.232,5847324.232,0.035455129
"TR","South",11,6240054.964,6240054.964,0.037836443
"TR","South",10,6632785.696,6632785.696,0.040217758
"TR","South",9,7025516.428,7025516.428,0.042599073
"TR","South",8,7450974.721,7450974.721,0.04517883
"TR","South",7,7876433.014,7876433.014,0.047758588
"TR","South",6,8312800.494,8312800.494,0.050404493
"TR","South",5,8694622.039,8694622.039,0.05271966
"TR","South",4,9076443.584,9076443.584,0.055034827
"TR","South",3,9469174.316,9469174.316,0.057416141
"TR","South",2,9949178.544,9949178.544,0.060326637
"TR","South",1,10429182.77,10429182.77,0.063237133
"TR","South",0,10909187,5394592.972,0.032710002
