lakeid,sampledate,rep,sta,depth,chlor
TR,4/21/2005,1,2,8,5.2
TR,4/21/2005,1,2,10,6
TR,4/21/2005,1,2,15,4.5
TR,5/3/2005,1,2,0,8.2
TR,5/3/2005,1,2,3,10
TR,5/3/2005,1,2,5,5.9
TR,5/3/2005,1,2,8,8.2
TR,5/3/2005,1,2,10,5.9
TR,5/3/2005,1,2,15,9.8
TR,5/17/2005,1,2,0,8.1
TR,5/17/2005,1,2,3,6.6
TR,5/17/2005,1,2,5,6.8
TR,5/17/2005,1,2,8,12.1
TR,5/17/2005,1,2,10,9
TR,5/17/2005,1,2,15,9.1
TR,6/2/2005,1,2,0,1.6
TR,6/2/2005,1,2,3,1.7
TR,6/2/2005,1,2,5,2
TR,6/2/2005,1,2,8,4.1
TR,6/2/2005,1,2,10,6.6
TR,6/2/2005,1,2,15,6.3
TR,6/16/2005,1,2,0,1.5
TR,6/16/2005,1,2,3,1.8
TR,6/16/2005,1,2,5,1.8
TR,6/16/2005,1,2,8,2.5
TR,6/16/2005,1,2,10,3.5
TR,6/16/2005,1,2,15,3.8
TR,7/1/2005,1,2,0,1.6
TR,7/1/2005,1,2,3,2.2
TR,7/1/2005,1,2,5,2.2
TR,7/1/2005,1,2,8,2.4
TR,7/1/2005,1,2,10,5
TR,7/1/2005,1,2,15,3
TR,7/13/2005,1,2,3,1.1
TR,7/13/2005,1,2,5,1.8
TR,7/13/2005,1,2,8,2.8
TR,7/13/2005,1,2,10,3.8
TR,7/13/2005,1,2,15,1.6
TR,7/27/2005,1,2,0,1.3
TR,7/27/2005,1,2,3,2.5
TR,7/27/2005,1,2,5,2.3
TR,7/27/2005,1,2,8,2.7
TR,7/27/2005,1,2,10,13.1
TR,7/27/2005,1,2,15,3.6
TR,8/11/2005,1,2,0,2.4
TR,8/11/2005,1,2,3,2.3
TR,8/11/2005,1,2,5,2.1
TR,8/11/2005,1,2,8,4.7
TR,8/11/2005,1,2,10,4.8
TR,8/11/2005,1,2,15,5.1
TR,8/24/2005,1,2,0,2.5
TR,8/24/2005,1,2,3,2.7
TR,8/24/2005,1,2,5,2.8
TR,8/24/2005,1,2,8,2.5
TR,8/24/2005,1,2,10,3.4
TR,8/24/2005,1,2,15,4.5
TR,9/7/2005,1,2,0,2
TR,9/7/2005,1,2,3,2.2
TR,9/7/2005,1,2,5,1.5
TR,9/7/2005,1,2,8,2.1
TR,9/7/2005,1,2,10,3
TR,9/7/2005,1,2,15,4.4
TR,9/19/2005,1,2,0,3.1
TR,9/19/2005,1,2,3,4.9
TR,9/19/2005,1,2,5,4.4
TR,9/19/2005,1,2,8,4.1
TR,9/19/2005,1,2,10,3.6
TR,9/19/2005,1,2,15,3.6
TR,10/7/2005,1,2,0,3.7
TR,10/7/2005,1,2,3,4
TR,10/7/2005,1,2,5,5.3
TR,10/7/2005,1,2,8,3.4
TR,10/7/2005,1,2,10,3.6
TR,10/7/2005,1,2,15,3.5
TR,10/18/2005,1,2,0,3
TR,10/18/2005,1,2,3,3.2
TR,10/18/2005,1,2,5,3.1
TR,10/18/2005,1,2,8,3.4
TR,10/18/2005,1,2,10,3.7
TR,10/18/2005,1,2,15,2.5
TR,11/14/2005,1,2,0,2.5
TR,11/14/2005,1,2,3,2.2
TR,11/14/2005,1,2,5,2.4
TR,11/14/2005,1,2,8,3.8
TR,11/14/2005,1,2,10,2.3
TR,11/14/2005,1,2,15,2.7
TR,1/20/2006,1,2,0,0.4
TR,1/20/2006,1,2,3,3.7
TR,1/20/2006,1,2,5,1.5
TR,1/20/2006,1,2,8,0.8
TR,1/20/2006,1,2,10,0.8
TR,1/20/2006,1,2,15,1
TR,2/14/2006,1,2,0,0.4
TR,2/14/2006,1,2,3,3.7
TR,2/14/2006,1,2,5,2.7
TR,2/14/2006,1,2,8,1.1
TR,2/14/2006,1,2,10,1
TR,2/14/2006,1,2,15,0.4
TR,4/5/2006,1,2,0,0.3
TR,4/5/2006,1,2,3,1.6
TR,4/5/2006,1,2,5,1.4
TR,4/5/2006,1,2,8,1.3
TR,4/5/2006,1,2,10,1.3
TR,4/5/2006,1,2,15,0.9
TR,4/21/2006,1,2,0,4.7
TR,4/21/2006,1,2,3,5.4
TR,4/21/2006,1,2,5,5.9
TR,4/21/2006,1,2,8,6.1
TR,4/21/2006,1,2,10,6.3
TR,4/21/2006,1,2,15,5
TR,5/5/2006,1,2,0,7.6
TR,5/5/2006,1,2,3,6.6
TR,5/5/2006,1,2,5,7.9
TR,5/5/2006,1,2,8,5.7
TR,5/5/2006,1,2,10,6.4
TR,5/5/2006,1,2,15,5.9
TR,5/17/2006,1,2,0,6.9
TR,5/17/2006,1,2,3,9.5
TR,5/17/2006,1,2,5,8.1
TR,5/17/2006,1,2,8,5
TR,5/17/2006,1,2,10,8.1
TR,5/17/2006,1,2,15,8.4
TR,6/14/2006,1,2,0,2.3
TR,6/14/2006,1,2,3,1.5
TR,6/14/2006,1,2,5,2.6
TR,6/14/2006,1,2,8,3.4
TR,6/14/2006,1,2,10,3.9
TR,6/14/2006,1,2,15,4.1
TR,6/27/2006,1,2,0,1.6
TR,6/27/2006,1,2,3,1.6
TR,6/27/2006,1,2,5,1.7
TR,6/27/2006,1,2,8,3
TR,6/27/2006,1,2,10,3.1
TR,6/27/2006,1,2,15,4.3
TR,7/10/2006,1,2,0,1
TR,7/10/2006,1,2,3,1.8
TR,7/10/2006,1,2,5,1.6
TR,7/10/2006,1,2,8,3.7
TR,7/10/2006,1,2,10,3.4
TR,7/10/2006,1,2,15,2.9
TR,7/24/2006,1,2,0,2.1
TR,7/24/2006,1,2,3,-0.5
TR,7/24/2006,1,2,5,2.2
TR,7/24/2006,1,2,8,2.5
TR,7/24/2006,1,2,10,5.2
TR,7/24/2006,1,2,15,1.5
TR,8/8/2006,1,2,0,3.5
TR,8/8/2006,1,2,3,3
TR,8/8/2006,1,2,5,3
TR,8/8/2006,1,2,8,4.9
TR,8/8/2006,1,2,10,5.2
TR,8/8/2006,1,2,15,7.6
TR,8/21/2006,1,2,0,3.8
TR,8/21/2006,1,2,3,4
TR,8/21/2006,1,2,5,2.8
TR,8/21/2006,1,2,8,3.4
TR,8/21/2006,1,2,10,5.2
TR,8/21/2006,1,2,15,3.2
TR,9/6/2006,1,2,0,2.6
TR,9/6/2006,1,2,3,3.3
TR,9/6/2006,1,2,5,3.4
TR,9/6/2006,1,2,8,3.6
TR,9/6/2006,1,2,10,4.4
TR,9/6/2006,1,2,15,3.4
TR,9/20/2006,1,2,0,3.7
TR,9/20/2006,1,2,3,3.7
TR,9/20/2006,1,2,5,6.7
TR,9/20/2006,1,2,8,4.2
TR,9/20/2006,1,2,10,4
TR,9/20/2006,1,2,15,2.2
TR,10/3/2006,1,2,0,3.7
TR,10/3/2006,1,2,3,3.9
TR,10/3/2006,1,2,5,4.3
TR,10/3/2006,1,2,8,3.5
TR,10/3/2006,1,2,10,3.5
TR,10/3/2006,1,2,15,1.8
TR,10/17/2006,1,2,0,3.4
TR,10/17/2006,1,2,3,3.9
TR,10/17/2006,1,2,5,3.4
TR,10/17/2006,1,2,8,3.5
TR,10/17/2006,1,2,10,3.3
TR,10/17/2006,1,2,15,3.2
TR,10/30/2006,1,2,0,3.7
TR,10/30/2006,1,2,3,3.7
TR,10/30/2006,1,2,5,4.2
TR,10/30/2006,1,2,8,2.8
TR,10/30/2006,1,2,10,3.7
TR,10/30/2006,1,2,15,3.9
TR,1/18/2007,1,2,0,2.3
TR,1/18/2007,1,2,3,2.6
TR,1/18/2007,1,2,5,3.3
TR,1/18/2007,1,2,8,3.1
TR,1/18/2007,1,2,10,3.4
TR,1/18/2007,1,2,15,2.4
TR,2/26/2007,1,2,0,2.5
TR,2/26/2007,1,2,3,3.3
TR,2/26/2007,1,2,5,3.8
TR,2/26/2007,1,2,8,3.8
TR,2/26/2007,1,2,10,3.3
TR,2/26/2007,1,2,15,1.3
TR,3/29/2007,1,2,0,3.1
TR,3/29/2007,1,2,3,2.9
TR,3/29/2007,1,2,5,2.2
TR,3/29/2007,1,2,8,2.6
TR,3/29/2007,1,2,10,3.2
TR,3/29/2007,1,2,15,2.8
TR,4/26/2007,1,2,0,5.9
TR,4/26/2007,1,2,3,7.1
TR,4/26/2007,1,2,5,8
TR,4/26/2007,1,2,8,6.2
TR,4/26/2007,1,2,10,7
TR,4/26/2007,1,2,15,5.2
TR,5/8/2007,1,2,0,2.4
TR,5/8/2007,1,2,3,8.1
TR,5/8/2007,1,2,5,7.4
TR,5/8/2007,1,2,8,6.7
TR,5/8/2007,1,2,10,8.3
TR,5/8/2007,1,2,15,9.6
TR,5/23/2007,1,2,0,3.3
TR,5/23/2007,1,2,3,3.2
TR,5/23/2007,1,2,5,3.7
TR,5/23/2007,1,2,8,3.5
TR,5/23/2007,1,2,10,2.6
TR,5/23/2007,1,2,15,7.2
TR,6/4/2007,1,2,0,2.1
TR,6/4/2007,1,2,3,2.5
TR,6/4/2007,1,2,5,0.8
TR,6/4/2007,1,2,8,4
TR,6/4/2007,1,2,10,5.8
TR,6/4/2007,1,2,15,4
TR,6/20/2007,1,2,0,2.1
TR,6/20/2007,1,2,3,1.9
TR,6/20/2007,1,2,5,2.2
TR,6/20/2007,1,2,8,2.6
TR,6/20/2007,1,2,10,2.5
TR,6/20/2007,1,2,15,3.6
TR,7/3/2007,1,2,0,1.4
TR,7/3/2007,1,2,3,1.7
TR,7/3/2007,1,2,5,1.6
TR,7/3/2007,1,2,8,2
TR,7/3/2007,1,2,10,4.3
TR,7/3/2007,1,2,15,2.6
TR,7/17/2007,1,2,0,1.3
TR,7/17/2007,1,2,3,2.2
TR,7/17/2007,1,2,5,2.5
TR,7/17/2007,1,2,8,1.6
TR,7/17/2007,1,2,10,2
TR,7/17/2007,1,2,15,3.5
TR,7/31/2007,1,2,0,1.1
TR,7/31/2007,1,2,3,1.1
TR,7/31/2007,1,2,5,1.4
TR,7/31/2007,1,2,8,2.3
TR,7/31/2007,1,2,10,2.3
TR,7/31/2007,1,2,15,6.7
TR,8/14/2007,1,2,0,1.7
TR,8/14/2007,1,2,3,1.5
TR,8/14/2007,1,2,5,1.2
TR,8/14/2007,1,2,8,1.4
TR,8/14/2007,1,2,10,2.7
TR,8/14/2007,1,2,15,5.3
TR,8/28/2007,1,2,0,3.4
TR,8/28/2007,1,2,3,3.4
TR,8/28/2007,1,2,5,3.7
TR,8/28/2007,1,2,8,4
TR,8/28/2007,1,2,10,3.5
TR,8/28/2007,1,2,15,4
TR,9/12/2007,1,2,0,3.4
TR,9/12/2007,1,2,3,4.5
TR,9/12/2007,1,2,5,4.7
TR,9/12/2007,1,2,8,4.3
TR,9/12/2007,1,2,10,4.4
TR,9/12/2007,1,2,15,3.8
TR,9/26/2007,1,2,0,4
TR,9/26/2007,1,2,3,3.5
TR,9/26/2007,1,2,5,4.6
TR,9/26/2007,1,2,8,3.7
TR,9/26/2007,1,2,10,3.9
TR,9/26/2007,1,2,15,3.6
TR,10/11/2007,1,2,0,3
TR,10/11/2007,1,2,3,3.4
TR,10/11/2007,1,2,5,3.3
TR,10/11/2007,1,2,8,3
TR,10/11/2007,1,2,10,3.4
TR,10/11/2007,1,2,15,3.1
TR,10/24/2007,1,2,0,1.9
TR,10/24/2007,1,2,3,3.9
TR,10/24/2007,1,2,5,3.6
TR,10/24/2007,1,2,8,4.2
TR,10/24/2007,1,2,10,3.2
TR,10/24/2007,1,2,15,1.2
TR,11/13/2007,1,2,0,1.5
TR,11/13/2007,1,2,3,0.6
TR,11/13/2007,1,2,5,0.5
TR,11/13/2007,1,2,8,0.3
TR,11/13/2007,1,2,10,0.9
TR,11/13/2007,1,2,15,0.1
TR,2/1/2008,1,2,0,0.3
TR,2/1/2008,1,2,3,0.6
TR,2/1/2008,1,2,5,0.4
TR,2/1/2008,1,2,8,0.4
TR,2/1/2008,1,2,10,0.1
TR,2/1/2008,1,2,15,0
TR,2/27/2008,1,2,0,0.8
TR,2/27/2008,1,2,3,1.5
TR,2/27/2008,1,2,5,0.6
TR,2/27/2008,1,2,8,0.3
TR,2/27/2008,1,2,10,0.3
TR,2/27/2008,1,2,15,0
TR,3/28/2008,1,2,0,0.3
TR,3/28/2008,1,2,3,1.5
TR,3/28/2008,1,2,5,0.9
TR,3/28/2008,1,2,8,0.2
TR,3/28/2008,1,2,10,0.2
TR,3/28/2008,1,2,15,0
TR,5/12/2008,1,2,0,3.8
TR,5/12/2008,1,2,3,4.2
TR,5/12/2008,1,2,5,4.3
TR,5/12/2008,1,2,8,4.1
TR,5/12/2008,1,2,10,3.6
TR,5/12/2008,1,2,15,3.5
TR,5/22/2008,1,2,0,3.4
TR,5/22/2008,1,2,3,4.7
TR,5/22/2008,1,2,5,4
TR,5/22/2008,1,2,8,5.6
TR,5/22/2008,1,2,10,4.7
TR,5/22/2008,1,2,15,4.9
TR,6/4/2008,1,2,1,1.7
TR,6/4/2008,1,2,3,-0.3
TR,6/4/2008,1,2,5,2.5
TR,6/4/2008,1,2,8,2.1
TR,6/4/2008,1,2,10,5.9
TR,6/4/2008,1,2,15,4.3
TR,6/19/2008,1,2,0,0.3
TR,6/19/2008,1,2,3,1.5
TR,6/19/2008,1,2,5,1.9
TR,6/19/2008,1,2,8,1.9
TR,6/19/2008,1,2,10,2.8
TR,6/19/2008,1,2,15,3.6
TR,7/3/2008,1,2,0,0.3
TR,7/3/2008,1,2,3,0.9
TR,7/3/2008,1,2,8,1.9
TR,7/3/2008,1,2,10,2.6
TR,7/3/2008,1,2,15,3.7
TR,7/17/2008,1,2,0,0.8
TR,7/17/2008,1,2,3,1.1
TR,7/17/2008,1,2,5,2.1
TR,7/17/2008,1,2,8,1.3
TR,7/17/2008,1,2,10,1.2
TR,7/17/2008,1,2,15,6.5
TR,7/31/2008,1,2,0,0.7
TR,7/31/2008,1,2,3,1.3
TR,7/31/2008,1,2,5,1
TR,7/31/2008,1,2,8,1
TR,7/31/2008,1,2,10,1.5
TR,7/31/2008,1,2,15,3.1
TR,8/13/2008,1,2,0,1
TR,8/13/2008,1,2,3,1
TR,8/13/2008,1,2,5,1.2
TR,8/13/2008,1,2,8,1.5
TR,8/13/2008,1,2,10,2.1
TR,8/13/2008,1,2,15,4.1
TR,8/27/2008,1,2,0,1.1
TR,8/27/2008,1,2,3,1.5
TR,8/27/2008,1,2,5,1.3
TR,8/27/2008,1,2,8,1.3
TR,8/27/2008,1,2,10,1.6
TR,8/27/2008,1,2,15,2.5
TR,9/10/2008,1,2,0,1.7
TR,9/10/2008,1,2,3,1.7
TR,9/10/2008,1,2,5,2
TR,9/10/2008,1,2,8,1.8
TR,9/10/2008,1,2,10,1.7
TR,9/10/2008,1,2,15,3
TR,9/25/2008,1,2,0,1.7
TR,9/25/2008,1,2,3,0.2
TR,9/25/2008,1,2,5,1.8
TR,9/25/2008,1,2,8,2.2
TR,9/25/2008,1,2,10,2
TR,9/25/2008,1,2,15,1.9
TR,10/10/2008,1,2,0,1.8
TR,10/10/2008,1,2,3,2.3
TR,10/10/2008,1,2,5,2.7
TR,10/10/2008,1,2,8,2.9
TR,10/10/2008,1,2,10,2.4
TR,10/10/2008,1,2,15,1.9
TR,10/23/2008,1,2,0,1.8
TR,10/23/2008,1,2,3,1.6
TR,10/23/2008,1,2,5,2
TR,10/23/2008,1,2,8,2.7
TR,10/23/2008,1,2,10,1.9
TR,10/23/2008,1,2,15,2.8
TR,11/11/2008,1,2,0,1
TR,11/11/2008,1,2,3,2.6
TR,11/11/2008,1,2,5,2.5
TR,11/11/2008,1,2,8,2.8
TR,11/11/2008,1,2,10,2.5
TR,11/11/2008,1,2,15,2.3
TR,1/19/2009,1,2,0,0.5
TR,1/19/2009,1,2,3,0.7
TR,1/19/2009,1,2,5,1.6
TR,1/19/2009,1,2,8,0.6
TR,1/19/2009,1,2,10,0.1
TR,1/19/2009,1,2,15,0.3
TR,2/16/2009,1,2,0,0.2
TR,2/16/2009,1,2,3,0.3
TR,2/16/2009,1,2,5,0.5
TR,2/16/2009,1,2,8,0.5
TR,2/16/2009,1,2,10,0.5
TR,2/16/2009,1,2,15,0.1
TR,3/23/2009,1,2,0,0.2
TR,3/23/2009,1,2,3,2.3
TR,3/23/2009,1,2,5,2.3
TR,3/23/2009,1,2,8,2.4
TR,3/23/2009,1,2,10,3
TR,3/23/2009,1,2,15,2.5
TR,4/30/2009,1,2,0,3.8
TR,4/30/2009,1,2,3,4
TR,4/30/2009,1,2,5,4.3
TR,4/30/2009,1,2,8,3.7
TR,4/30/2009,1,2,10,4.3
TR,4/30/2009,1,2,15,4.1
TR,5/11/2009,1,2,0,3.9
TR,5/11/2009,1,2,3,3.4
TR,5/11/2009,1,2,5,4.5
TR,5/11/2009,1,2,8,5.9
TR,5/11/2009,1,2,10,6.7
TR,5/11/2009,1,2,15,4.3
TR,5/28/2009,1,2,0,3.8
TR,5/28/2009,1,2,3,3.6
TR,5/28/2009,1,2,5,3.7
TR,5/28/2009,1,2,8,5.2
TR,5/28/2009,1,2,10,7.4
TR,5/28/2009,1,2,15,3.8
TR,6/8/2009,1,2,0,2.6
TR,6/8/2009,1,2,5,2.3
TR,6/8/2009,1,2,15,1.9
TR,6/24/2009,1,2,0,0.4
TR,6/24/2009,1,2,3,0.6
TR,6/24/2009,1,2,5,0.9
TR,6/24/2009,1,2,8,1.1
TR,6/24/2009,1,2,10,1.3
TR,6/24/2009,1,2,15,3
TR,7/7/2009,1,2,0,-0.2
TR,7/7/2009,1,2,3,0.4
TR,7/7/2009,1,2,5,0
TR,7/7/2009,1,2,8,1.2
TR,7/7/2009,1,2,10,3.2
TR,7/7/2009,1,2,15,2.9
TR,7/20/2009,1,2,0,0.8
TR,7/20/2009,1,2,3,2.3
TR,7/20/2009,1,2,5,0.9
TR,7/20/2009,1,2,8,1
TR,7/20/2009,1,2,10,1.9
TR,7/20/2009,1,2,15,0.9
TR,8/3/2009,1,2,0,1.2
TR,8/3/2009,1,2,3,1.5
TR,8/3/2009,1,2,5,1.5
TR,8/3/2009,1,2,8,0.7
TR,8/3/2009,1,2,10,1
TR,8/3/2009,1,2,15,3.7
TR,8/18/2009,1,2,0,1
TR,8/18/2009,1,2,3,0.5
TR,8/18/2009,1,2,5,1.4
TR,8/18/2009,1,2,8,0.9
TR,8/18/2009,1,2,10,1.2
TR,8/18/2009,1,2,15,4.3
TR,8/31/2009,1,2,0,-0.5
TR,8/31/2009,1,2,3,1
TR,8/31/2009,1,2,5,-0.1
TR,8/31/2009,1,2,8,0.6
TR,8/31/2009,1,2,10,0.6
TR,8/31/2009,1,2,15,2.3
TR,9/15/2009,1,2,0,1.6
TR,9/15/2009,1,2,3,0.5
TR,9/15/2009,1,2,5,2.1
TR,9/15/2009,1,2,8,2.3
TR,9/15/2009,1,2,10,2.6
TR,9/15/2009,1,2,15,3
TR,9/30/2009,1,2,0,1.4
TR,9/30/2009,1,2,3,1.4
TR,9/30/2009,1,2,5,1.6
TR,9/30/2009,1,2,8,1.5
TR,9/30/2009,1,2,10,1.6
TR,9/30/2009,1,2,15,1.6
TR,10/13/2009,1,2,0,2.1
TR,10/13/2009,1,2,3,2.6
TR,10/13/2009,1,2,5,2.3
TR,10/13/2009,1,2,8,2.5
TR,10/13/2009,1,2,10,2.1
TR,10/13/2009,1,2,15,1.9
TR,10/27/2009,1,2,0,2
TR,10/27/2009,1,2,3,1.8
TR,10/27/2009,1,2,5,1.6
TR,10/27/2009,1,2,8,1
TR,10/27/2009,1,2,10,1.3
TR,10/27/2009,1,2,15,1.6
TR,11/10/2009,1,2,0,1.1
TR,11/10/2009,1,2,3,6.3
TR,11/10/2009,1,2,5,5.8
TR,11/10/2009,1,2,8,5.2
TR,11/10/2009,1,2,10,6.6
TR,11/10/2009,1,2,15,6.2
TR,1/13/2010,1,2,0,0.4
TR,1/13/2010,1,2,3,1.2
TR,1/13/2010,1,2,8,1.9
TR,1/13/2010,1,2,10,1
TR,1/13/2010,1,2,15,0.5
TR,2/10/2010,1,2,0,0.6
TR,2/10/2010,1,2,3,1
TR,2/10/2010,1,2,5,1.1
TR,2/10/2010,1,2,8,1.4
TR,2/10/2010,1,2,10,1
TR,2/10/2010,1,2,15,0.5
TR,4/14/2010,1,2,0,3.8
TR,4/14/2010,1,2,3,3
TR,4/14/2010,1,2,5,3.4
TR,4/14/2010,1,2,8,3.1
TR,4/14/2010,1,2,10,3.3
TR,4/14/2010,1,2,15,3.1
TR,4/28/2010,1,2,0,1
TR,4/28/2010,1,2,3,1.6
TR,4/28/2010,1,2,5,2.2
TR,4/28/2010,1,2,8,2.4
TR,4/28/2010,1,2,10,2.7
TR,4/28/2010,1,2,15,3.8
TR,5/13/2010,1,2,0,1.7
TR,5/13/2010,1,2,3,1.9
TR,5/13/2010,1,2,5,1.8
TR,5/13/2010,1,2,8,0.9
TR,5/13/2010,1,2,10,1.6
TR,5/13/2010,1,2,15,1.4
TR,5/26/2010,1,2,0,0.6
TR,5/26/2010,1,2,3,1
TR,5/26/2010,1,2,5,1.5
TR,5/26/2010,1,2,8,1.3
TR,5/26/2010,1,2,10,1.3
TR,5/26/2010,1,2,15,4.4
TR,6/9/2010,1,2,0,0.3
TR,6/9/2010,1,2,3,0.7
TR,6/9/2010,1,2,5,0.3
TR,6/9/2010,1,2,8,1
TR,6/9/2010,1,2,10,1.4
TR,6/9/2010,1,2,15,2
TR,6/22/2010,1,2,0,0.8
TR,6/22/2010,1,2,3,0.7
TR,6/22/2010,1,2,5,0.7
TR,6/22/2010,1,2,8,1.1
TR,6/22/2010,1,2,10,1.4
TR,6/22/2010,1,2,15,1.5
TR,7/7/2010,1,2,0,0
TR,7/7/2010,1,2,5,1.2
TR,7/7/2010,1,2,8,1
TR,7/7/2010,1,2,10,1.9
TR,7/7/2010,1,2,15,2.3
TR,7/21/2010,1,2,0,1.4
TR,7/21/2010,1,2,3,1.4
TR,7/21/2010,1,2,5,2.2
TR,7/21/2010,1,2,8,1.7
TR,7/21/2010,1,2,10,2
TR,7/21/2010,1,2,15,2.5
TR,8/4/2010,1,2,0,3.7
TR,8/4/2010,1,2,3,1.2
TR,8/4/2010,1,2,5,1.1
TR,8/4/2010,1,2,8,1.1
TR,8/4/2010,1,2,10,1.8
TR,8/4/2010,1,2,15,3.9
TR,8/18/2010,1,2,0,1.5
TR,8/18/2010,1,2,3,-1
TR,8/18/2010,1,2,5,1.5
TR,8/18/2010,1,2,8,2
TR,8/18/2010,1,2,10,1.5
TR,8/18/2010,1,2,15,1.6
TR,9/2/2010,1,2,0,2
TR,9/2/2010,1,2,3,2.2
TR,9/2/2010,1,2,5,1.5
TR,9/2/2010,1,2,8,1.9
TR,9/2/2010,1,2,10,2.1
