"date","fit","se.pred"
2003-12-02,5.58887281889698,1.35413490740994
2003-12-03,5.56463471747136,1.3482622278387
2003-12-04,5.60716709576127,1.3585674503771
2003-12-05,5.62661725271279,1.36328005296014
2003-12-06,5.64146197843006,1.36687679991361
2003-12-07,5.60694535259219,1.35851372395042
2003-12-08,5.59853089515862,1.35647497465214
2003-12-09,5.58847132909973,1.35403762995041
2003-12-10,5.5726769791348,1.35021079736352
2003-12-11,5.61387117029632,1.36019178888756
2003-12-12,5.69318189182779,1.3794080816961
2003-12-13,5.65786187399259,1.37085035089227
2003-12-14,5.64162007255488,1.36691510473464
2003-12-15,5.64006854471561,1.36653918313559
2003-12-16,5.60976458620927,1.35919679955023
2003-12-17,5.60401159489056,1.35780290016852
2003-12-18,5.61535748395048,1.36055190966104
2003-12-19,5.59384371792983,1.35533931268444
2003-12-20,5.67226702890787,1.37434059369247
2003-12-21,5.61363169130723,1.36013376522711
2003-12-22,5.63546798532787,1.36542450791172
2003-12-23,5.61723940466776,1.36100788255912
2003-12-24,5.63049507068416,1.36421961427238
2003-12-25,5.63511571258528,1.36533915531325
2003-12-26,5.65611839565255,1.37042792136899
2003-12-27,5.6346877046127,1.36523545273222
2003-12-28,5.61079096193892,1.35944548139515
2003-12-29,5.62129062246271,1.36198945712907
2003-12-30,5.61889754066955,1.36140963438172
2003-12-31,5.62055049665405,1.36181013113152
2004-01-01,5.65104882345954,1.36919960845247
2004-01-02,5.62768271347828,1.36353820476674
2004-01-03,5.59926027800785,1.35665169772475
2004-01-04,5.60440885957018,1.35789915391907
2004-01-05,5.58158188394343,1.35236837776287
2004-01-06,5.6301466177719,1.36413518718531
2004-01-07,5.63897251814134,1.36627362550138
2004-01-08,5.65515898053188,1.37019546349283
2004-01-09,5.6744735329967,1.37487521029708
2004-01-10,5.66738263522255,1.37315714790561
2004-01-11,5.63312858832122,1.3648576925177
2004-01-12,5.67581128594254,1.37519933611282
2004-01-13,5.69955554732253,1.38095236256863
2004-01-14,5.66615694756078,1.37286017452615
2004-01-15,5.62009659273989,1.36170015419079
2004-01-16,5.63655577031757,1.36568806868221
2004-01-17,5.64668705972335,1.36814279132236
2004-01-18,5.59928946998396,1.35665877068475
2004-01-19,5.6155939100386,1.36060919363034
2004-01-20,5.67105784512524,1.3740476190583
2004-01-21,5.6450880499726,1.36775536527225
2004-01-22,5.60716528002479,1.35856701044006
2004-01-23,5.61280726959371,1.35993401507053
2004-01-24,5.63768689140396,1.36596212940916
2004-01-25,5.65621822100189,1.37045210817634
2004-01-26,5.60146474473532,1.35718582069456
2004-01-27,5.64691786739223,1.36819871399791
2004-01-28,5.6147898708171,1.36041438197295
2004-01-29,5.58901142600676,1.35416849069799
2004-01-30,5.5742489351682,1.35059166853499
2004-01-31,5.60979067208629,1.35920311992963
2004-02-01,5.61363693502452,1.36013503573386
2004-02-02,5.58212979370182,1.35250113149587
2004-02-03,5.6,1.35683092588109
2004-02-04,5.60911480987495,1.35903936443857
