"Dates","Flow","Solute"
1991-05-01,1.8122752,NA
1991-05-02,1.7839584,NA
1991-05-03,1.7273248,NA
1991-05-04,1.7556416,NA
1991-05-05,1.7556416,NA
1991-05-06,1.8122752,NA
1991-05-07,1.8122752,NA
1991-05-08,1.7839584,NA
1991-05-09,1.7556416,NA
1991-05-10,1.7556416,NA
1991-05-11,1.699008,NA
1991-05-12,1.6706912,NA
1991-05-13,1.6423744,NA
1991-05-14,1.6423744,NA
1991-05-15,1.6140576,NA
1991-05-16,1.7839584,NA
1991-05-17,1.7556416,NA
1991-05-18,1.699008,NA
1991-05-19,1.6140576,NA
1991-05-20,1.557424,NA
1991-05-21,1.5291072,NA
1991-05-22,1.5007904,NA
1991-05-23,1.4724736,NA
1991-05-24,1.5007904,NA
1991-05-25,1.5007904,NA
1991-05-26,1.699008,NA
1991-05-27,1.7273248,NA
1991-05-28,1.7273248,NA
1991-05-29,1.8689088,NA
1991-05-30,1.840592,NA
1991-05-31,1.840592,NA
1991-06-01,1.8122752,NA
1991-06-02,1.7839584,NA
1991-06-03,1.8122752,NA
1991-06-04,1.840592,NA
1991-06-05,1.7839584,NA
1991-06-06,1.7556416,NA
1991-06-07,1.699008,NA
1991-06-08,1.6706912,NA
1991-06-09,1.6140576,NA
1991-06-10,1.557424,NA
1991-06-11,1.5291072,NA
1991-06-12,1.557424,NA
1991-06-13,1.5007904,NA
1991-06-14,1.557424,NA
1991-06-15,1.6423744,NA
1991-06-16,1.5857408,NA
1991-06-17,1.557424,NA
1991-06-18,1.5007904,NA
1991-06-19,1.4724736,NA
1991-06-20,1.4724736,NA
1991-06-21,1.7556416,NA
1991-06-22,1.699008,NA
1991-06-23,1.5857408,NA
1991-06-24,1.5291072,NA
1991-06-25,1.4724736,NA
1991-06-26,1.41584,NA
1991-06-27,1.41584,NA
1991-06-28,1.557424,NA
1991-06-29,1.6706912,NA
1991-06-30,1.6706912,NA
1991-07-01,1.6423744,NA
1991-07-02,1.699008,NA
1991-07-03,1.699008,NA
1991-07-04,1.8122752,NA
1991-07-05,1.7839584,NA
1991-07-06,1.7556416,NA
1991-07-07,1.7273248,NA
1991-07-08,1.699008,NA
1991-07-09,1.6706912,NA
1991-07-10,1.6140576,NA
1991-07-11,1.5857408,NA
1991-07-12,1.6423744,NA
1991-07-13,1.6140576,NA
1991-07-14,1.5291072,NA
1991-07-15,1.4724736,NA
1991-07-16,1.41584,NA
1991-07-17,1.557424,NA
1991-07-18,1.5291072,NA
1991-07-19,1.5007904,NA
1991-07-20,1.5007904,NA
1991-07-21,1.5007904,NA
1991-07-22,1.4441568,NA
1991-07-23,1.3592064,NA
1991-07-24,1.3308896,7.86459689534301
1991-07-25,1.3025728,NA
1991-07-26,1.2459392,NA
1991-07-27,1.2176224,NA
1991-07-28,1.3875232,NA
1991-07-29,1.5007904,NA
1991-07-30,1.4441568,NA
1991-07-31,1.3875232,NA
1991-08-01,1.3308896,NA
1991-08-02,1.3025728,NA
1991-08-03,1.3025728,NA
1991-08-04,1.2459392,NA
1991-08-05,1.1893056,NA
1991-08-06,1.1609888,NA
1991-08-07,1.132672,NA
1991-08-08,1.1043552,NA
1991-08-09,1.0760384,NA
1991-08-10,1.0477216,NA
1991-08-11,1.0194048,NA
1991-08-12,0.991088,6.84827240861292
1991-08-13,0.9627712,NA
1991-08-14,0.9627712,NA
1991-08-15,0.9627712,NA
1991-08-16,0.991088,8.1893340010015
1991-08-17,1.1043552,NA
1991-08-18,1.0760384,NA
1991-08-19,1.0194048,NA
1991-08-20,0.9627712,NA
1991-08-21,0.9344544,NA
1991-08-22,0.9061376,NA
1991-08-23,0.9061376,NA
1991-08-24,0.8778208,NA
1991-08-25,0.8778208,NA
1991-08-26,0.849504,NA
1991-08-27,0.849504,NA
1991-08-28,0.849504,NA
1991-08-29,0.8211872,NA
1991-08-30,0.8211872,NA
1991-08-31,0.7645536,NA
1991-09-01,0.7362368,NA
1991-09-02,0.70792,NA
1991-09-03,0.7928704,NA
1991-09-04,0.8211872,NA
1991-09-05,0.8211872,NA
1991-09-06,0.8211872,NA
1991-09-07,0.9061376,NA
1991-09-08,0.9344544,NA
1991-09-09,1.0194048,NA
1991-09-10,1.0760384,NA
1991-09-11,1.0194048,7.47911867801703
1991-09-12,1.0194048,NA
1991-09-13,1.0194048,NA
1991-09-14,1.0477216,NA
1991-09-15,1.0760384,NA
1991-09-16,1.0477216,NA
1991-09-17,0.991088,NA
1991-09-18,0.9627712,NA
1991-09-19,0.9344544,NA
1991-09-20,0.9061376,NA
1991-09-21,0.849504,NA
1991-09-22,0.8211872,NA
1991-09-23,0.7928704,NA
1991-09-24,0.7645536,NA
1991-09-25,0.7928704,NA
1991-09-26,0.7645536,NA
1991-09-27,0.7362368,NA
1991-09-28,0.7362368,NA
1991-09-29,0.70792,NA
1991-09-30,0.70792,NA
1991-10-01,0.7645536,NA
1991-10-02,0.7928704,NA
1991-10-03,0.7645536,NA
1991-10-04,0.7645536,NA
1991-10-05,0.7928704,NA
1991-10-06,0.8778208,NA
1991-10-07,0.8778208,NA
1991-10-08,0.8778208,NA
1991-10-09,0.8778208,NA
1991-10-10,0.8778208,NA
1991-10-11,0.8778208,NA
1991-10-12,0.9061376,NA
1991-10-13,0.9061376,NA
1991-10-14,0.9344544,NA
1991-10-15,0.9061376,NA
1991-10-16,0.9061376,NA
1991-10-17,0.9061376,NA
1991-10-18,0.8778208,NA
1991-10-19,0.849504,NA
1991-10-20,0.849504,NA
1991-10-21,0.849504,5.3849774661993
1991-10-22,0.8211872,NA
1991-10-23,0.8211872,NA
1991-10-24,0.9344544,NA
1991-10-25,0.9627712,NA
1991-10-26,0.9627712,NA
1991-10-27,0.9627712,NA
1991-10-28,0.9627712,NA
1991-10-29,0.991088,NA
1991-10-30,0.9627712,NA
1991-10-31,0.9627712,NA
1991-11-01,1.1893056,NA
1991-11-02,1.2459392,NA
1991-11-03,1.274256,NA
1991-11-04,1.2459392,NA
1991-11-05,1.2459392,NA
