sampledate,depth,wtemp
2006-06-27,0.00,22.205
2006-06-27,0.50,22.202
2006-06-27,1.00,22.244
2006-06-27,1.50,22.219
2006-06-27,2.00,22.259
2006-06-27,2.50,22.214
2006-06-27,3.00,22.055
2006-06-27,3.50,22.230
2006-06-27,4.00,22.240
2006-06-27,4.50,22.149
2006-06-27,5.00,22.081
2006-06-27,5.50,21.981
2006-06-27,6.00,21.793
2006-06-27,6.50,21.735
2006-06-27,7.00,21.660
2006-06-27,8.00,15.575
2006-06-27,9.00,13.342
2006-06-27,10.00,13.084
2006-06-27,11.00,12.661
2006-06-27,12.00,12.389
2006-06-27,13.00,12.238
2006-06-27,14.00,12.123
2006-06-27,15.00,11.925
2006-06-28,0.00,22.245
2006-06-28,0.50,22.246
2006-06-28,1.00,22.272
2006-06-28,1.50,22.233
2006-06-28,2.00,22.268
2006-06-28,2.50,22.227
2006-06-28,3.00,22.066
2006-06-28,3.50,22.237
2006-06-28,4.00,22.229
2006-06-28,4.50,22.141
2006-06-28,5.00,22.115
2006-06-28,5.50,21.986
2006-06-28,6.00,21.572
2006-06-28,6.50,20.931
2006-06-28,7.00,20.000
2006-06-28,8.00,17.029
2006-06-28,9.00,14.774
2006-06-28,10.00,13.670
2006-06-28,11.00,13.016
2006-06-28,12.00,12.678
2006-06-28,13.00,12.138
2006-06-28,14.00,11.777
2006-06-28,15.00,11.571
2006-06-29,0.00,23.403
2006-06-29,0.50,22.942
2006-06-29,1.00,22.594
2006-06-29,1.50,22.343
2006-06-29,2.00,22.249
2006-06-29,2.50,22.135
2006-06-29,3.00,21.907
2006-06-29,3.50,22.030
2006-06-29,4.00,21.975
2006-06-29,4.50,21.856
2006-06-29,5.00,21.821
2006-06-29,5.50,21.642
2006-06-29,6.00,21.228
2006-06-29,6.50,20.667
2006-06-29,7.00,20.004
2006-06-29,8.00,18.471
2006-06-29,9.00,16.357
2006-06-29,10.00,14.555
2006-06-29,11.00,13.286
2006-06-29,12.00,12.596
2006-06-29,13.00,11.956
2006-06-29,14.00,11.610
