datetime,DOC,DOCwc
1996-02-06,6.47,6.39
1996-04-03,6.42,6.21
1996-04-16,6.52,6.57
1996-05-01,7.27,6.94
1996-05-14,6.25,6.57
1996-06-10,6.64,6.68
1996-07-09,7.76,7.27
1996-08-05,3.7,3.5
1996-09-05,6.61,6.38
1996-10-16,6.01,6.24
1997-02-17,6.52,6.46
1997-05-01,6.17,6.18
1997-05-13,6.18,6.34
1997-06-11,7.06,6.71
1997-07-09,5.98,5.78
1997-08-07,6.14,6.09
1997-09-08,6.39,6.43
1997-09-30,10.17,7.86
1997-11-25,6.81,7.04
1998-03-17,6.7,6.68
1998-04-27,7.61,7.08
1998-06-08,6.79,6.73
1998-07-06,7.12,7.89
1998-08-02,7.72,7.29
1998-09-02,5.96,5.21
1998-10-27,6.46,6.56
1998-11-23,7.04,6.82
1999-01-27,5.59,5.75
1999-02-23,5.47,5.59
1999-04-12,5.75,5.86
1999-05-10,6.77,6.68
1999-06-08,6.83,6.83
1999-07-07,6.69,6.39
1999-08-02,5.79,5.8
1999-08-30,6.2,7.22
1999-09-27,6.68,6.56
1999-10-26,6.94,7.07
1999-11-22,6.36,6.37
2000-01-25,6.53,10.09
2000-03-13,15.66,15.79
2000-04-10,6.09,6.27
2000-05-09,7.2,6.96
2000-07-03,6.58,6.26
2000-08-01,6.37,6.04
2000-08-28,6.09,5.85
2000-09-25,5.9,5.92
2000-10-24,6.06,5.99
2000-11-27,5.89,5.88
2001-01-15,6.01,5.93
2001-04-25,6.02,6.01
2001-05-09,5.98,6.07
2001-06-04,5.64,5.64
2001-07-02,5.3,5.67
2001-07-30,6.28,5.91
2001-08-27,6.12,5.76
2001-09-26,5.85,5.86
2001-10-22,5.72,5.76
2001-11-26,6.41,6.23
2002-04-23,5.84,5.9
2002-05-21,5.6,5.64
2002-06-19,5.94,5.87
2002-07-16,6.39,5.88
2002-08-13,6.49,6.15
2002-09-24,7,7.01
2002-10-22,5.64,5.5
2002-11-19,6.11,5.65
2003-02-13,6.84,6.44
2003-04-15,6.42,6.37
2003-05-13,6.36,6.46
2003-06-10,6.8,6.56
2003-08-05,7.22,6.63
2003-09-03,6.23,6.12
2003-09-30,6.05,6.03
2003-10-29,6.51,6.69
2003-12-02,6.56,7.08
2004-02-17,5.71,5.69
2004-04-13,6.3,7.29
2004-05-11,6.55,6.71
2004-06-08,6.61,6.12
2004-07-07,7.28,6.73
2004-08-05,6.28,6.14
2004-10-06,6.11,6.43
2004-11-04,6.35,6.7
2005-02-03,6.26,6.1
2005-04-18,7.03,6.44
2005-05-10,6.28,6.36
2005-06-07,6.33,6.41
2005-07-05,6.97,6.5
2005-08-03,7.17,7.22
2005-08-30,6.65,6.18
2005-09-27,6.88,7
2005-11-03,6.76,6.87
2006-04-19,5.08,5.11
2006-05-16,5.25,5.26
2006-06-13,5.93,5.57
2006-07-12,6.39,5.8
2006-08-08,5.45,5.76
2006-09-07,5.37,5.02
2006-10-04,5.63,5.28
2006-10-30,5.32,5.38
2006-12-11,5.41,5.34
2007-01-05,5.22,5.32
2007-02-26,5.12,5.34
2007-04-17,5.15,5.04
2007-05-21,5.28,5.14
2007-06-11,5.55,5.54
2007-07-09,5.56,5.46
2007-08-07,5.29,5.15
2007-09-04,5.26,5.18
2007-10-04,2.36,4.16
2007-10-29,5.26,5.38
2007-11-26,5.39,5.53
2008-03-03,5.29,6.12
2008-04-17,5.45,5.52
2008-07-08,5.81,5.43
2008-08-05,5.74,5.52
2008-09-29,5.62,5.57
2008-10-31,5.06,5.11
2009-02-05,5.78,5.37
2009-04-17,5.11,5.1
2009-05-11,4.57,4.77
2009-07-09,5.46,5.19
2009-08-04,5.36,5.2
2009-09-04,5.25,5.03
2009-09-30,11.95,8.72
2009-10-30,5.57,5.61
2010-02-03,5.52,5.59
2010-04-12,6.38,5.64
2010-05-13,5.01,5.02
2010-06-09,5.58,5.67
2010-07-06,4.88,4.54
2010-08-04,4.82,4.71
2010-08-30,4.7,4.61
2010-10-08,4.71,4.96
2011-01-26,4.75,4.75
2011-04-21,4.54,4.4
2011-05-17,4.43,4.46
2011-06-14,5.06,4.86
2012-04-18,5.05,4.96
2012-06-12,5.53,5.18
2012-07-11,4.82,4.75
2012-08-07,5.38,4.92
2012-09-05,5.27,4.9
2012-10-02,5.55,5.27
2012-11-01,5.15,5.38
2013-05-08,6.77,6.52
2013-05-15,5.5,4.7
2013-06-11,4.47,4.69
2013-07-08,4.53,4.29
2013-08-06,5.08,4.91
2013-10-01,4.42,4.26
2013-10-30,4.43,4.15
2014-03-13,5.28,5.37
2014-04-30,5.26,5.06
2014-05-15,4.98,4.71
2014-06-10,5.33,4.84
2014-07-09,4.77,5.01
2014-08-05,4.83,4.73
2014-09-08,4.29,4.41
2014-10-01,4.4,4.53
2014-11-05,4.53,4.47
