datetime,Volume,FlowIn,FlowOut,Rain,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi
2002-03-28,5.32e+08,3.398016,3.398016,2.56139993667602,1.29,1.35,0.104333333333333,11.9,12.796032,2.2
2002-03-29,5.32e+08,2.8458384,2.8458384,0,NA,NA,NA,NA,11.6916768,NA
2002-03-30,5.32e+08,2.3786112,2.3786112,0,NA,NA,NA,NA,10.7572224,NA
2002-03-31,5.32e+08,3.1431648,3.1431648,0.711599975824356,NA,NA,NA,NA,12.2863296,NA
2002-04-01,5.32e+08,3.18564,3.18564,3.01780004799367,NA,NA,NA,NA,12.37128,NA
2002-04-02,5.32e+08,2.6759376,2.6759376,5.07410001754761,NA,NA,NA,NA,11.3518752,NA
2002-04-03,5.32e+08,2.5909872,2.5909872,0.255999995395542,NA,NA,NA,NA,11.1819744,NA
2002-04-04,5.32e+08,2.7184128,2.7184128,0,NA,NA,NA,NA,11.4368256,NA
2002-04-05,5.32e+08,2.8033632,2.8033632,0,NA,NA,NA,NA,11.6067264,NA
2002-04-06,5.32e+08,1.3167312,1.3167312,0,NA,NA,NA,NA,8.6334624,NA
2002-04-07,5.32e+08,3.5254416,3.5254416,10.8659998467192,NA,NA,NA,NA,13.0508832,NA
2002-04-08,5.32e+08,7.220784,7.220784,20.8188003059477,2.49,2.87,0.097,10.1333333333333,15,2.5
2002-04-09,5.32e+08,7.7729616,7.7729616,10.1387998051941,NA,NA,NA,NA,15,NA
2002-04-10,5.32e+08,5.1819744,5.1819744,0,NA,NA,NA,NA,15,NA
2002-04-11,5.32e+08,4.1200944,4.1200944,0.0941999983042478,NA,NA,NA,NA,14.2401888,NA
2002-04-12,5.32e+08,5.0545488,5.0545488,3.43619993329048,NA,NA,NA,NA,15,NA
2002-04-13,5.32e+08,3.610392,3.610392,0,NA,NA,NA,NA,13.220784,NA
2002-04-14,5.32e+08,3.18564,3.18564,1.50840000156313,NA,NA,NA,NA,12.37128,NA
2002-04-15,5.32e+08,2.5909872,2.5909872,1.92519998550415,NA,NA,NA,NA,11.1819744,NA
2002-04-16,5.32e+08,2.5060368,2.5060368,0,NA,NA,NA,NA,11.0120736,NA
2002-04-17,5.32e+08,4.0776192,4.0776192,0.343799997121096,NA,NA,NA,NA,14.1552384,NA
2002-04-18,5.32e+08,1.7414832,1.7414832,7.21360005438329,NA,NA,NA,NA,9.4829664,NA
2002-04-19,5.32e+08,4.5448464,4.5448464,9.04440004751088,NA,NA,NA,NA,15,NA
2002-04-20,5.32e+08,2.8033632,2.8033632,0.527799986302852,NA,NA,NA,NA,11.6067264,NA
2002-04-21,5.32e+08,2.760888,2.760888,8.66140016261487,NA,NA,NA,NA,11.521776,NA
2002-04-22,5.32e+08,2.760888,2.760888,0.392800003290176,NA,NA,NA,NA,11.521776,NA
2002-04-23,5.32e+08,2.7184128,2.7184128,0,NA,NA,NA,NA,11.4368256,NA
2002-04-24,5.32e+08,2.7184128,2.7184128,6.07199990004301,6.99,7.35,0.0763333333333333,NA,11.4368256,4.6
2002-04-25,5.32e+08,3.3555408,3.3555408,0,NA,NA,NA,NA,12.7110816,NA
2002-04-26,5.32e+08,3.4404912,3.4404912,0,NA,NA,NA,NA,12.8809824,NA
2002-04-27,5.32e+08,3.5254416,3.5254416,9.7780000269413,NA,NA,NA,NA,13.0508832,NA
2002-04-28,5.32e+08,3.610392,3.610392,10.0923999845982,NA,NA,NA,NA,13.220784,NA
2002-04-29,5.32e+08,2.8458384,2.8458384,0,NA,NA,NA,NA,11.6916768,NA
2002-04-30,5.32e+08,3.610392,3.610392,0,NA,NA,NA,NA,13.220784,NA
2002-05-01,5.32e+08,3.5254416,3.5254416,3.44079998135567,NA,NA,NA,NA,13.0508832,NA
2002-05-02,5.32e+08,3.0582144,3.0582144,7.94319994561376,NA,NA,NA,NA,12.1164288,NA
2002-05-03,5.32e+08,3.5679168,3.5679168,0,NA,NA,NA,NA,13.1358336,NA
2002-05-04,5.32e+08,2.6759376,2.6759376,0,NA,NA,NA,NA,11.3518752,NA
2002-05-05,5.32e+08,2.5909872,2.5909872,0.108400002121925,NA,NA,NA,NA,11.1819744,NA
2002-05-06,5.32e+08,2.8883136,2.8883136,2.11659996584058,8.22,9.57,0.0845,NA,11.7766272,6.3
2002-05-07,5.32e+08,3.7378176,3.7378176,0.995800020173191,NA,NA,NA,NA,13.4756352,NA
2002-05-08,5.32e+08,1.911384,1.911384,0,NA,NA,NA,NA,9.822768,NA
2002-05-09,5.32e+08,3.1006896,3.1006896,9.16139987111092,NA,NA,NA,NA,12.2013792,NA
2002-05-10,5.32e+08,6.158904,6.158904,0,NA,NA,NA,NA,15,NA
2002-05-11,5.32e+08,3.6953424,3.6953424,11.842799840495,NA,NA,NA,NA,13.3906848,NA
2002-05-12,5.32e+08,7.5605856,7.5605856,8.44059995934366,NA,NA,NA,NA,15,NA
2002-05-13,5.32e+08,5.7766272,5.7766272,0,NA,NA,NA,NA,15,NA
2002-05-14,5.32e+08,3.9926688,3.9926688,0.0447999984025954,NA,NA,NA,NA,13.9853376,NA
2002-05-15,5.32e+08,1.7414832,1.7414832,0,NA,NA,NA,NA,9.4829664,NA
